,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,hYByVVA7,2024-11-16,01:00,SOUTH AMERICA - WORLD CHAMPIONSHIP,Uruguay,Colombia,QUALIFICATION ,2.15,3.1,3.4,1.62,2.2,1.11,6.5,1.53,2.38,2.7,1.44,2.2,1.62,2.38,1.55,1.38,3.0
2,UkeKgFm8,2024-11-16,02:30,SOUTH AMERICA - WORLD CHAMPIONSHIP,Peru,Chile,QUALIFICATION ,2.3,3.0,3.25,1.73,2.0,1.14,5.5,1.67,2.1,3.4,1.33,2.38,1.53,2.43,1.53,1.33,3.3
3,jc9jJwe5,2024-11-16,06:00,JAPAN - J1 LEAGUE,Iwata,Yokohama F. Marinos,ROUND 29,2.5,3.8,2.3,1.25,3.75,1.02,19.0,1.14,5.5,1.5,2.5,1.44,2.63,2.75,1.43,1.63,2.25
4,vHd13DpS,2024-11-16,14:00,SPAIN - LALIGA2,Eibar,Racing Club Ferrol,ROUND 15,1.75,3.4,4.6,1.5,2.5,1.1,7.0,1.44,2.63,2.35,1.57,2.2,1.62,1.8,2.05,1.18,4.65
5,6yOM7KYk,2024-11-16,15:00,EUROPE - UEFA NATIONS LEAGUE,Azerbaijan,Estonia,LEAGUE C ,1.53,3.9,5.8,1.44,2.63,1.03,9.5,1.33,3.25,2.05,1.8,2.1,1.67,1.58,2.35,1.16,5.25
6,dGkjAuDb,2024-11-16,15:00,IRELAND - PREMIER DIVISION,Bray,Drogheda,RELEGATION ,5.0,3.75,1.57,1.4,2.75,1.05,8.5,1.3,3.2,1.91,1.8,1.95,1.75,4.8,1.14,2.25,1.65
7,K0PEJhvm,2024-11-16,16:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Carrick Rangers,Crusaders,ROUND 17,3.8,3.5,1.8,1.32,3.1,1.04,12.0,1.25,3.75,1.86,1.9,1.75,1.98,3.8,1.25,1.91,1.85
8,v3uGHW8a,2024-11-16,16:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Cliftonville,Ballymena,ROUND 17,1.55,3.8,5.5,1.3,3.15,1.04,12.0,1.25,3.75,1.86,1.9,1.89,1.84,1.58,2.3,1.16,5.0
9,nTrOFAwC,2024-11-16,16:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Dungannon,Glenavon,ROUND 17,1.9,3.4,3.6,1.32,3.05,1.04,11.5,1.26,3.7,1.88,1.88,1.75,1.98,1.96,1.8,1.29,3.5
10,8rXWDl8O,2024-11-16,16:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Glentoran,Portadown,ROUND 17,1.4,4.2,7.0,1.3,3.15,1.04,12.5,1.25,3.75,1.85,1.9,2.02,1.72,1.47,2.6,1.1,5.5
