,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,GWl94WSg,2024-12-05,00:00,BOLIVIA - DIVISION PROFESIONAL,The Strongest,Santa Cruz,CLAUSURA ,1.05,9.0,23.0,1.1,7.0,1.01,34.0,1.05,11.0,1.2,4.33,2.25,1.57,1.1,7.0,,
2,GvJBhEFp,2024-12-05,00:00,BRAZIL - SERIE A BETANO,Criciuma,Flamengo RJ,ROUND 37,3.25,3.5,2.05,1.36,3.0,1.04,12.0,1.25,4.0,1.84,2.06,1.7,2.05,3.1,1.35,1.78,2.03
3,2XxyaGxH,2024-12-05,00:00,BRAZIL - SERIE A BETANO,Sao Paulo,Juventude,ROUND 37,1.8,3.5,4.33,1.4,2.75,1.05,11.0,1.3,3.5,2.01,1.89,1.8,1.95,1.92,1.98,1.28,3.55
4,YioK2bwh,2024-12-05,00:00,BRAZIL - SERIE A BETANO,Vitoria,Gremio,ROUND 37,2.25,3.2,3.1,1.5,2.5,1.08,8.0,1.4,3.0,2.2,1.65,1.95,1.8,2.3,1.6,1.35,3.1
5,GSS4u0o1,2024-12-05,00:30,COLOMBIA - PRIMERA A,Once Caldas,America De Cali,CLAUSURA ,2.62,2.8,2.8,1.57,2.25,1.11,6.5,1.5,2.5,2.6,1.48,2.1,1.67,2.68,1.45,1.4,2.85
6,nwKJ8ck6,2024-12-05,01:00,ARGENTINA - TORNEO BETANO,River Plate,San Lorenzo,ROUND 24,1.4,4.2,8.5,1.4,2.75,1.05,11.0,1.33,3.25,2.05,1.8,2.2,1.62,1.4,2.85,1.11,6.6
7,jgavJeR0,2024-12-05,01:00,HONDURAS - LIGA NACIONAL,Olancho,Marathon,APERTURA ,1.91,3.1,3.9,1.5,2.4,1.05,8.0,1.44,2.62,2.3,1.55,2.1,1.67,1.95,1.8,,
8,OdhH2Ac6,2024-12-05,01:30,BOLIVIA - DIVISION PROFESIONAL,Royal Pari,Oriente Petrolero,CLAUSURA ,2.5,3.4,2.4,1.44,2.63,1.07,9.0,1.33,3.25,2.08,1.73,1.83,1.83,3.0,1.38,1.63,2.25
9,baWqcf7T,2024-12-05,01:30,BRAZIL - SERIE A BETANO,Atletico GO,Fortaleza,ROUND 37,2.9,3.3,2.3,1.44,2.63,1.07,9.0,1.33,3.4,2.05,1.75,1.8,1.95,2.75,1.43,1.53,2.43
10,MHsG3vOo,2024-12-05,01:30,BRAZIL - SERIE A BETANO,Cruzeiro,Palmeiras,ROUND 37,3.7,3.4,1.95,1.44,2.63,1.07,9.0,1.33,3.4,2.08,1.73,1.91,1.91,3.45,1.3,1.73,2.08
11,8EgYveoo,2024-12-05,01:30,BRAZIL - SERIE A BETANO,Internacional,Botafogo RJ,ROUND 37,2.62,3.25,2.6,1.4,2.75,1.05,11.0,1.29,3.75,1.95,1.95,1.7,2.05,2.6,1.48,1.5,2.5
12,OUmQnrgR,2024-12-05,02:30,COLOMBIA - PRIMERA A,Junior,Deportes Tolima,CLAUSURA ,2.3,2.9,3.2,1.53,2.38,1.08,8.0,1.44,2.63,2.35,1.57,2.0,1.73,2.35,1.58,1.38,3.0
13,40HpFom2,2024-12-05,03:00,GUATEMALA - LIGA NACIONAL,Xinabajul,Coban Imperial,APERTURA ,1.91,3.2,3.7,1.5,2.4,1.05,8.0,1.4,2.7,2.25,1.57,2.05,1.7,1.91,1.83,,
14,vFuZvwlK,2024-12-05,03:00,HONDURAS - LIGA NACIONAL,Genesis,Real Espana,APERTURA ,2.3,2.9,3.0,1.57,2.25,1.1,6.0,1.5,2.4,2.5,1.48,2.15,1.65,2.36,1.5,,
15,290JAsKq,2024-12-05,04:00,MEXICO - LIGA MX,Atl. San Luis,Monterrey,APERTURA ,2.8,3.2,2.3,1.44,2.63,1.07,9.0,1.3,3.4,2.05,1.75,1.75,2.0,3.1,1.35,1.58,2.35
