,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,AgfqVj1p,2024-11-08,01:00,ARGENTINA - TORNEO BETANO,Platense,Dep. Riestra,ROUND 21,1.85,3.2,4.6,1.67,2.1,1.17,5.0,1.62,2.2,3.1,1.36,2.63,1.44,1.8,2.05,1.16,5.25
2,lpgmUAGj,2024-11-08,01:15,ARGENTINA - TORNEO BETANO,Velez Sarsfield,Tigre,ROUND 21,1.44,4.2,7.5,1.36,3.0,1.05,11.0,1.29,3.5,1.98,1.88,2.05,1.7,1.43,2.75,1.11,6.8
3,Q1OUVsW1,2024-11-08,02:00,MEXICO - LIGA DE EXPANSION MX,Tepatitlan de Morelos,Tapatio,APERTURA ,2.6,3.2,2.45,1.45,2.55,1.02,8.5,1.32,3.0,2.02,1.65,1.86,1.86,2.45,1.44,1.53,2.4
4,UD9LxiHO,2024-11-08,03:00,COSTA RICA - PRIMERA DIVISION,Zeledon,Saprissa,APERTURA ,3.5,3.3,1.95,1.44,2.63,1.06,10.0,1.36,3.0,2.1,1.7,1.83,1.83,3.45,1.3,1.78,2.03
5,S6trun9F,2024-11-08,04:05,MEXICO - LIGA DE EXPANSION MX,Dorados de Sinaloa,Atlante,APERTURA ,4.75,3.5,1.65,1.42,2.65,1.02,9.0,1.3,3.05,1.98,1.68,2.0,1.73,4.3,1.17,2.15,1.66
6,xpWp1ROi,2024-11-08,09:35,AUSTRALIA - A-LEAGUE,WS Wanderers,Newcastle Jets,ROUND 4,1.75,4.0,3.75,1.25,3.75,1.02,19.0,1.14,5.5,1.5,2.63,1.5,2.5,1.78,2.03,1.25,3.8
7,z1aTWoV1,2024-11-08,14:00,BULGARIA - PARVA LIGA,Arda,Botev Vratsa,ROUND 15,1.55,3.5,5.5,1.5,2.5,1.07,9.0,1.4,2.75,2.2,1.65,2.2,1.62,1.63,2.25,1.16,5.25
8,prNuQMTF,2024-11-08,14:00,ISRAEL - LIGAT HA'AL,Hapoel Jerusalem,Maccabi Haifa,ROUND 10,6.5,4.6,1.33,1.29,3.5,1.03,15.0,1.18,4.5,1.6,2.3,1.8,1.91,7.0,1.1,3.0,1.38
9,0W00ChFL,2024-11-08,14:30,UKRAINE - PREMIER LEAGUE,Ch. Odesa,Vorskla Poltava,ROUND 13,2.7,3.2,2.38,1.5,2.4,1.07,7.0,1.4,2.7,2.2,1.6,1.95,1.75,2.75,1.36,1.51,2.34
10,pnyAEGeC,2024-11-08,15:00,INDIA - ISL,Bengaluru FC,North East Utd,ROUND 8,1.8,3.6,3.7,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.67,2.1,1.85,1.95,1.28,3.55
11,nuwgfcy3,2024-11-08,15:45,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Hilal,Al Ettifaq,ROUND 10,1.14,6.0,11.0,1.22,4.0,1.02,12.0,1.13,5.5,1.4,2.75,2.0,1.73,1.22,4.15,1.04,8.0
12,hplZZSkl,2024-11-08,16:20,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ahli SC,Al Raed,ROUND 10,1.22,5.0,9.0,1.29,3.5,1.02,11.0,1.17,4.5,1.53,2.38,1.91,1.8,1.3,3.45,1.11,6.8
13,GdxGfkN8,2024-11-08,16:30,BULGARIA - PARVA LIGA,Botev Plovdiv,Lok. Sofia,ROUND 15,1.33,4.2,8.5,1.44,2.63,1.06,10.0,1.36,3.0,2.1,1.7,2.5,1.5,1.4,2.85,1.13,6.0
14,EyfzQk04,2024-11-08,17:00,ROMANIA - LIGA 1,Otelul,FC Botosani,ROUND 16,1.75,3.25,4.5,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.25,1.57,1.75,2.05,1.19,4.5
15,hbD3rX4j,2024-11-08,17:00,UKRAINE - PREMIER LEAGUE,Livyi Bereg,Inhulets,ROUND 13,2.3,3.0,3.0,1.5,2.38,1.1,7.0,1.46,2.63,2.55,1.49,2.04,1.72,2.5,1.5,1.36,3.05
16,zed3RX5L,2024-11-08,18:00,CROATIA - HNL,Sibenik,Lok. Zagreb,ROUND 13,3.1,3.25,2.15,1.4,2.75,1.06,10.0,1.29,3.5,2.0,1.85,1.73,2.0,3.3,1.33,1.65,2.2
17,f5vOfgTb,2024-11-08,18:00,MOROCCO - BOTOLA PRO,Jeunesse Sportive Soualem,FUS Rabat,ROUND 10,3.1,3.05,2.2,1.57,2.25,1.1,7.0,1.44,2.63,2.5,1.5,2.1,1.67,3.3,1.33,1.65,2.2
18,MPujWpkD,2024-11-08,18:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Riyadh,Al Nassr,ROUND 10,9.0,5.5,1.2,1.22,4.0,21.0,1.01,1.13,5.5,1.44,2.63,1.83,1.83,7.5,1.05,3.55,1.28
19,Yis7VrPE,2024-11-08,18:00,TURKEY - SUPER LIG,Kasimpasa,Kayserispor,ROUND 12,1.73,3.9,4.2,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.62,2.2,1.73,2.08,1.21,4.25
20,biWciD0T,2024-11-08,18:00,TURKEY - 1. LIG,Ankaragucu,Erokspor,ROUND 12,1.36,4.33,6.5,1.33,3.25,1.04,12.0,1.22,4.0,1.73,2.08,1.91,1.8,1.43,2.75,1.11,6.6
21,bX7GvzHN,2024-11-08,18:00,TURKEY - 1. LIG,Umraniyespor,Igdir FK,ROUND 12,2.3,3.2,2.75,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,1.8,1.91,2.35,1.58,1.43,2.75
22,pUJDnl4C,2024-11-08,18:30,GERMANY - 2. BUNDESLIGA,Braunschweig,Hamburger SV,ROUND 12,3.1,3.75,2.05,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.53,2.38,3.1,1.35,1.7,2.1
23,r5NdjW4m,2024-11-08,18:30,GERMANY - 2. BUNDESLIGA,Nurnberg,Kaiserslautern,ROUND 12,2.2,3.6,2.9,1.3,3.4,1.03,15.0,1.17,5.0,1.6,2.3,1.5,2.5,2.2,1.65,1.38,3.0
24,OOhT0JFs,2024-11-08,19:00,DENMARK - SUPERLIGA,Vejle,Sonderjyske,ROUND 15,2.3,3.5,2.62,1.3,3.4,1.03,17.0,1.18,4.5,1.6,2.3,1.57,2.25,2.2,1.65,1.45,2.68
25,dpF4nwBG,2024-11-08,19:00,DENMARK - 1ST DIVISION,B.93,Fredericia,ROUND 16,3.8,4.0,1.67,1.25,3.75,1.02,21.0,1.13,6.0,1.44,2.7,1.44,2.63,3.8,1.25,2.05,1.75
26,SpiyUUfk,2024-11-08,19:00,DENMARK - 1ST DIVISION,Kolding IF,Vendsyssel,ROUND 16,1.5,3.9,5.5,1.36,3.0,1.04,12.0,1.29,3.5,1.88,1.98,1.91,1.8,1.55,2.38,1.17,5.0
