,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,YeqaRSKa,2024-11-21,00:00,BOLIVIA - DIVISION PROFESIONAL,Independiente,Blooming,CLAUSURA ,1.7,3.6,4.2,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,1.91,1.8,1.8,2.0,1.2,4.4
2,IZ3qIEYa,2024-11-21,00:30,COLOMBIA - PRIMERA A,Millonarios,Dep. Pasto,CLAUSURA ,1.73,3.25,4.75,1.57,2.25,1.11,6.5,1.5,2.5,2.6,1.48,2.38,1.53,1.73,2.08,1.16,5.25
3,OAukwB1L,2024-11-21,01:00,BOLIVIA - DIVISION PROFESIONAL,Universitario de Vinto,Oriente Petrolero,CLAUSURA ,1.8,3.4,3.9,1.5,2.5,1.08,8.0,1.4,2.75,2.3,1.6,2.0,1.73,2.1,1.7,1.33,3.3
4,bev0F86L,2024-11-21,01:30,ARGENTINA - TORNEO BETANO,Boca Juniors,Union de Santa Fe,ROUND 23,1.85,3.25,4.5,1.57,2.25,1.1,7.0,1.5,2.5,2.5,1.5,2.2,1.62,1.95,1.9,1.23,4.1
5,l8uhrXe8,2024-11-21,01:30,BRAZIL - SERIE A BETANO,Atletico-MG,Botafogo RJ,ROUND 34,3.1,3.2,2.25,1.5,2.5,1.08,8.0,1.4,3.0,2.25,1.62,1.95,1.8,3.3,1.33,1.65,2.2
6,0YH4tZHa,2024-11-21,02:00,COSTA RICA - PRIMERA DIVISION,Guanacasteca,Puntarenas FC,APERTURA ,1.8,3.5,3.8,1.4,2.75,1.05,11.0,1.29,3.5,1.9,1.9,1.8,1.91,1.83,1.98,1.23,4.0
7,MREUeAWQ,2024-11-21,02:00,MEXICO - LIGA DE EXPANSION MX,Celaya,Tapatio,APERTURA ,1.5,3.8,5.5,1.4,2.75,1.05,9.0,1.25,3.4,1.84,1.8,1.88,1.84,1.61,2.23,1.14,4.8
8,E1chGh3C,2024-11-21,02:30,COLOMBIA - PRIMERA A,Atl. Nacional,Santa Fe,CLAUSURA ,2.0,3.1,3.6,1.53,2.38,1.08,8.0,1.44,2.63,2.4,1.53,2.1,1.67,2.03,1.83,1.25,3.8
9,YcOmaJ3S,2024-11-21,09:30,INDONESIA - LIGA 1,Madura United,Arema FC,ROUND 11,2.45,3.3,2.5,1.35,2.88,1.05,10.0,1.27,3.55,1.92,1.82,1.68,2.08,2.3,1.5,1.46,2.6
10,QXKu1uZF,2024-11-21,09:30,INDONESIA - LIGA 1,Malut United,Persis Solo,ROUND 11,1.95,3.2,3.5,1.45,2.55,1.04,8.5,1.35,2.9,2.05,1.67,1.85,1.83,2.0,1.77,1.29,3.1
11,MJlPfN4K,2024-11-21,11:00,SOUTH KOREA - K LEAGUE 2,Jeonnam,Busan,PLAY OFFS ,2.62,3.4,2.3,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.57,2.25,2.85,1.4,1.6,2.3
12,IVaKgcRk,2024-11-21,13:00,INDONESIA - LIGA 1,Semen Padang,PSM Makassar,ROUND 11,4.5,3.3,1.7,1.43,2.6,1.07,8.5,1.38,2.88,2.28,1.58,2.1,1.67,4.3,1.17,2.05,1.72
13,0CO2UQM9,2024-11-21,16:00,ROMANIA - LIGA 2,FC Arges,FC Voluntari,ROUND 14,2.25,3.1,2.88,1.43,2.63,1.07,8.5,1.37,3.0,2.23,1.62,1.89,1.84,2.43,1.53,1.38,2.95
14,0CEysv2s,2024-11-21,18:30,SWEDEN - SUPERETTAN,Lunds,Ostersund,RELEGATION ,2.9,3.5,2.1,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,1.67,2.1,3.0,1.38,1.65,2.2
15,I33MmJIN,2024-11-21,19:00,ROMANIA - LIGA 1,FC Botosani,FCSB,ROUND 4,5.5,3.75,1.55,1.4,2.75,1.05,11.0,1.3,3.4,2.0,1.85,1.91,1.8,5.25,1.16,2.3,1.6
16,b1wxbpIb,2024-11-21,19:00,SWEDEN - ALLSVENSKAN,Landskrona,Varnamo,RELEGATION ,3.4,3.3,2.0,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,1.8,1.95,3.3,1.33,1.73,2.08
17,2JJayzWI,2024-11-21,19:00,SWEDEN - SUPERETTAN,Stockholm Internazionale,Sundsvall,RELEGATION ,1.8,3.6,3.6,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.83,1.83,1.95,1.9,1.3,3.45
18,p6FUUm68,2024-11-21,21:00,ARGENTINA - TORNEO BETANO,Barracas Central,Belgrano,ROUND 23,3.5,3.1,2.15,1.62,2.2,1.1,7.0,1.5,2.5,2.6,1.48,2.2,1.62,3.45,1.3,1.73,2.08
19,f9nge664,2024-11-21,23:00,PARAGUAY - PRIMERA DIVISION,Sportivo Trinidense,Cerro Porteno,CLAUSURA ,3.25,3.2,2.1,1.44,2.63,1.07,8.5,1.36,3.0,2.1,1.7,1.83,1.83,3.3,1.33,1.68,2.15
20,jVzhHUy9,2024-11-21,23:15,ARGENTINA - TORNEO BETANO,Independiente,Gimnasia L.P.,ROUND 23,1.91,3.2,4.33,1.62,2.2,1.13,6.0,1.57,2.25,2.7,1.44,2.38,1.53,1.93,1.93,1.2,4.4
21,tKT4ESLR,2024-11-21,23:15,ARGENTINA - TORNEO BETANO,Talleres Cordoba,Sarmiento Junin,ROUND 23,1.6,3.6,6.0,1.57,2.25,1.08,8.0,1.5,2.5,2.4,1.53,2.63,1.44,1.55,2.38,1.14,5.75
