,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,QPbwUUZq,2024-11-28,00:00,BOLIVIA - DIVISION PROFESIONAL,The Strongest,Always Ready,CLAUSURA ,1.62,3.8,4.33,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.67,2.1,1.7,2.1,1.2,4.4
2,hIB2BxiL,2024-11-28,00:30,COLOMBIA - PRIMERA A,Deportes Tolima,America De Cali,CLAUSURA ,2.0,3.0,3.8,1.53,2.38,1.11,6.5,1.44,2.63,2.4,1.53,2.1,1.67,2.05,1.8,1.24,3.9
3,zuWRfAuE,2024-11-28,01:00,BRAZIL - SERIE A BETANO,Cruzeiro,Gremio,ROUND 35,2.1,3.25,3.4,1.5,2.5,1.08,8.0,1.4,3.0,2.15,1.67,1.95,1.8,2.08,1.73,1.3,3.45
4,Mg71hOk1,2024-11-28,01:15,URUGUAY - PRIMERA DIVISION,Danubio,Nacional,CLAUSURA ,8.0,4.2,1.36,1.44,2.63,1.06,10.0,1.36,3.0,2.15,1.67,2.5,1.5,6.6,1.11,2.75,1.43
5,numnS84d,2024-11-28,01:30,BOLIVIA - DIVISION PROFESIONAL,Royal Pari,Nacional Potosi,CLAUSURA ,3.2,3.25,2.05,1.36,3.0,1.05,11.0,1.25,3.75,1.83,1.98,1.67,2.1,2.15,1.68,1.35,3.1
6,0tUjsnHa,2024-11-28,02:00,MEXICO - LIGA MX,Club America,Toluca,APERTURA ,1.95,3.5,3.3,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.57,2.25,2.03,1.83,1.28,3.55
7,xjmZ5GEr,2024-11-28,02:30,COLOMBIA - PRIMERA A,Once Caldas,Junior,CLAUSURA ,2.0,3.1,3.6,1.53,2.38,1.1,7.0,1.4,2.75,2.35,1.57,2.0,1.73,2.05,1.8,1.25,3.8
8,C81gKcbc,2024-11-28,04:10,MEXICO - LIGA MX,Club Tijuana,Cruz Azul,APERTURA ,3.6,3.3,1.91,1.4,2.75,1.05,11.0,1.29,3.5,2.0,1.85,1.75,2.0,3.8,1.25,1.88,1.98
9,UBEjNpvp,2024-11-28,15:00,INDIA - ISL,Kerala Blasters,Goa,ROUND 10,2.75,3.5,2.15,1.3,3.15,1.03,10.0,1.21,3.9,1.73,2.08,1.57,2.23,2.63,1.4,1.57,2.2
10,lleFOanB,2024-11-28,15:45,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Feiha,Al Orubah,ROUND 12,1.91,3.25,3.3,1.44,2.63,1.06,8.0,1.33,3.25,2.05,1.75,1.83,1.83,2.03,1.78,1.3,3.45
11,vyTPDrYh,2024-11-28,16:05,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Okhdood,Al Kholood,ROUND 12,1.85,3.4,3.4,1.4,2.75,1.03,10.0,1.29,3.5,1.9,1.9,1.8,1.91,1.95,1.85,1.28,3.55
12,zXPKs9Ei,2024-11-28,16:30,EUROPE - CONFERENCE LEAGUE,FC Astana,Vitoria Guimaraes,LEAGUE PHASE ,4.2,3.5,1.75,1.44,2.63,1.06,10.0,1.36,3.0,2.15,1.67,1.91,1.8,3.55,1.28,1.85,2.0
13,Gzc7QLHb,2024-11-28,18:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Fateh,Al Riyadh,ROUND 12,2.2,3.25,2.7,1.44,2.63,1.04,9.0,1.3,3.4,2.03,1.78,1.8,1.91,2.38,1.55,1.43,2.75
14,Kd1gtxCs,2024-11-28,18:45,EUROPE - EUROPA LEAGUE,Anderlecht,FC Porto,LEAGUE PHASE ,3.0,3.5,2.25,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.1,1.57,2.25,3.1,1.35,1.68,2.15
15,p8OthOnQ,2024-11-28,18:45,EUROPE - EUROPA LEAGUE,AZ Alkmaar,Galatasaray,LEAGUE PHASE ,3.0,3.7,2.2,1.3,3.4,1.03,15.0,1.17,5.0,1.57,2.38,1.5,2.5,3.0,1.38,1.68,2.15
16,bwedQauQ,2024-11-28,18:45,EUROPE - EUROPA LEAGUE,Besiktas,Maccabi Tel Aviv,LEAGUE PHASE ,1.53,4.4,5.8,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.38,1.67,2.1,1.53,2.43,1.14,5.75
17,d2jsHPxg,2024-11-28,18:45,EUROPE - EUROPA LEAGUE,Dyn. Kyiv,Plzen,LEAGUE PHASE ,2.45,3.4,2.8,1.4,2.75,1.06,10.0,1.3,3.5,2.02,1.88,1.75,2.0,2.43,1.53,1.43,2.75
18,t26W6HwC,2024-11-28,18:45,EUROPE - EUROPA LEAGUE,Lazio,Ludogorets,LEAGUE PHASE ,1.2,6.5,13.0,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.5,2.1,1.67,1.21,4.25,1.05,9.0
19,IwQiqlLh,2024-11-28,18:45,EUROPE - EUROPA LEAGUE,Qarabag,Lyon,LEAGUE PHASE ,3.4,3.7,2.0,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.38,1.5,2.5,3.45,1.3,1.89,2.01
