,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,8nJEo620,2024-11-27,00:00,BRAZIL - SERIE A BETANO,Fortaleza,Flamengo RJ,ROUND 35,3.0,3.2,2.3,1.5,2.5,1.08,8.0,1.4,3.0,2.25,1.62,1.95,1.8,3.1,1.35,1.58,2.35
2,QRwclaLb,2024-11-27,00:30,BOLIVIA - DIVISION PROFESIONAL,Guabira,Tomayapo,CLAUSURA ,1.62,3.7,4.5,1.36,3.0,1.04,13.0,1.22,4.0,1.75,2.05,1.8,1.91,1.68,2.15,1.2,4.4
3,IN9VZckt,2024-11-27,01:00,URUGUAY - PRIMERA DIVISION,Progreso,Penarol,CLAUSURA ,8.5,4.33,1.33,1.44,2.63,1.07,9.0,1.36,3.0,2.2,1.65,2.63,1.44,7.5,1.05,3.0,1.38
4,IHflOxkg,2024-11-27,01:15,ARGENTINA - TORNEO BETANO,Sarmiento Junin,Platense,ROUND 24,3.4,2.8,2.4,1.78,2.03,1.14,5.5,1.73,2.0,3.5,1.3,2.63,1.44,3.3,1.33,1.58,2.35
5,0tpgNd4a,2024-11-27,01:15,ARGENTINA - TORNEO BETANO,Union de Santa Fe,Talleres Cordoba,ROUND 24,2.5,3.0,3.0,1.57,2.25,1.1,7.0,1.5,2.5,2.6,1.48,2.1,1.67,2.38,1.55,1.38,3.0
6,CdkDt8Jk,2024-11-27,01:30,BOLIVIA - DIVISION PROFESIONAL,Blooming,Universitario de Vinto,CLAUSURA ,1.53,3.9,5.0,1.36,3.0,1.04,12.0,1.25,3.75,1.8,2.0,1.8,1.91,1.6,2.3,1.18,4.8
7,d8a97mPJ,2024-11-27,01:30,BRAZIL - SERIE A BETANO,Atletico-MG,Juventude,ROUND 36,2.45,3.2,2.8,1.53,2.38,1.08,7.5,1.44,2.75,2.35,1.57,1.95,1.8,2.5,1.5,1.43,2.75
8,SdZm05Hg,2024-11-27,01:30,BRAZIL - SERIE A BETANO,Palmeiras,Botafogo RJ,ROUND 36,2.0,3.3,3.6,1.5,2.5,1.08,7.5,1.4,3.0,2.25,1.62,1.95,1.8,2.1,1.7,1.26,3.7
9,ph8fDbM8,2024-11-27,02:00,COLOMBIA - PRIMERA A,Santa Fe,Millonarios,CLAUSURA ,2.7,2.9,2.6,1.57,2.25,1.1,7.0,1.5,2.5,2.6,1.48,2.1,1.67,2.68,1.45,1.48,2.6
10,0vJhfpLl,2024-11-27,13:45,URUGUAY - PRIMERA DIVISION,Fenix,Maldonado,CLAUSURA ,1.91,3.3,3.6,1.5,2.5,1.07,9.0,1.4,2.75,2.25,1.62,2.0,1.73,2.0,1.85,1.26,3.7
11,niBRS6GM,2024-11-27,15:00,INDIA - ISL,Mohammedan,Bengaluru FC,ROUND 9,3.7,3.4,1.83,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.85,1.8,1.91,3.7,1.26,1.9,1.9
12,tfICbHRE,2024-11-27,17:00,CZECH REPUBLIC - CHANCE LIGA,Sigma Olomouc,Slovacko,ROUND 15,2.15,3.3,3.0,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,1.8,1.95,2.2,1.65,1.35,3.1
13,vmqpfl3e,2024-11-27,18:30,SOUTH AFRICA - PREMIERSHIP,Cape Town City,Polokwane,ROUND 8,2.0,3.0,3.75,1.5,2.4,1.09,7.0,1.5,2.48,2.7,1.44,2.33,1.55,2.02,1.75,1.27,3.65
14,zFxghSX7,2024-11-27,18:30,SOUTH AFRICA - PREMIERSHIP,Kaizer Chiefs,Richards Bay,ROUND 8,1.57,3.4,5.8,1.49,2.43,1.09,7.5,1.46,2.63,2.55,1.49,2.45,1.5,1.57,2.33,1.11,6.4
15,rJ4gBKMq,2024-11-27,18:45,EUROPE - CHAMPIONS LEAGUE,Crvena zvezda,Stuttgart,LEAGUE PHASE ,4.5,4.0,1.75,1.3,3.4,1.03,15.0,1.2,4.5,1.62,2.3,1.62,2.2,4.1,1.23,2.1,1.7
16,Y5f33QPb,2024-11-27,18:45,EUROPE - CHAMPIONS LEAGUE,Sturm Graz,Girona,LEAGUE PHASE ,3.4,3.8,2.05,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.1,1.67,2.1,3.1,1.35,1.84,2.06
