,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,pdSubzhN,2024-12-06,00:00,BRAZIL - SERIE A BETANO,Athletico-PR,Bragantino,ROUND 37,2.0,3.4,3.5,1.44,2.63,1.07,9.0,1.33,3.4,2.05,1.75,1.8,1.95,2.06,1.84,1.28,3.55
2,GGzP1Ihb,2024-12-06,00:00,BRAZIL - SERIE A BETANO,Fluminense,Cuiaba,ROUND 37,1.4,4.2,8.5,1.44,2.63,1.07,9.0,1.4,3.0,2.2,1.65,2.63,1.44,1.38,3.0,1.11,6.8
3,CfMDwvGD,2024-12-06,00:30,COLOMBIA - PRIMERA A,Atl. Nacional,Dep. Pasto,CLAUSURA ,1.75,3.3,4.8,1.5,2.5,1.08,8.0,1.44,2.63,2.35,1.57,2.2,1.62,1.73,2.08,1.18,4.65
4,KOoQ0lSI,2024-12-06,01:00,BOLIVIA - DIVISION PROFESIONAL,Wilstermann,Bolivar,CLAUSURA ,3.4,3.1,2.0,1.44,2.63,1.06,9.5,1.3,3.4,2.03,1.78,1.8,1.91,3.45,1.3,1.73,2.08
5,82PdsMGl,2024-12-06,02:30,COLOMBIA - PRIMERA A,Millonarios,Santa Fe,CLAUSURA ,1.85,3.0,4.8,1.62,2.2,1.13,6.0,1.57,2.25,2.88,1.4,2.5,1.5,1.8,2.05,1.16,5.25
6,2Ze4ZFYG,2024-12-06,03:00,GUATEMALA - LIGA NACIONAL,Antigua,Xelaju,APERTURA ,1.95,2.9,4.2,1.56,2.25,1.1,6.25,1.52,2.38,2.75,1.4,2.18,1.61,1.95,1.8,,
7,0GI5WOt3,2024-12-06,03:00,MEXICO - LIGA MX,Club America,Cruz Azul,APERTURA ,2.9,3.0,2.38,1.4,2.75,1.06,10.0,1.29,3.5,1.95,1.9,1.7,2.05,2.43,1.53,1.43,2.75
8,zTNqJYBb,2024-12-06,09:30,INDONESIA - LIGA 1,Borneo,PSIS Semarang,ROUND 13,1.38,4.0,7.0,1.34,2.95,1.04,10.5,1.28,3.4,1.97,1.77,2.23,1.6,1.36,2.75,1.06,7.0
9,EDZzLfsn,2024-12-06,09:30,INDONESIA - LIGA 1,Persik Kediri,Madura United,ROUND 13,1.62,3.6,4.6,1.3,3.15,1.03,12.0,1.22,3.95,1.78,1.96,1.75,1.98,1.65,2.15,1.18,4.0
10,nHfi4iy1,2024-12-06,09:35,AUSTRALIA - A-LEAGUE,Brisbane Roar,Melbourne City,ROUND 7,2.8,3.7,2.2,1.3,3.4,1.03,15.0,1.17,5.0,1.62,2.3,1.5,2.5,2.85,1.4,1.63,2.25
