,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,IPYYCLH5,2024-11-29,00:30,PARAGUAY - PRIMERA DIVISION,Cerro Porteno,Libertad Asuncion,CLAUSURA ,1.67,3.5,4.6,1.44,2.63,1.08,8.0,1.36,3.0,2.15,1.67,2.0,1.73,1.78,2.03,1.2,4.4
2,ADYtljRF,2024-11-29,01:00,BOLIVIA - DIVISION PROFESIONAL,Wilstermann,Oriente Petrolero,CLAUSURA ,1.62,3.7,4.5,1.4,2.75,1.04,13.0,1.29,3.5,1.88,1.93,1.83,1.83,1.68,2.15,1.21,4.25
3,x2BD1EaU,2024-11-29,02:00,MEXICO - LIGA MX,Atl. San Luis,U.A.N.L.- Tigres,APERTURA ,3.0,3.4,2.1,1.36,3.0,1.04,12.0,1.22,4.0,1.8,2.0,1.67,2.1,3.1,1.32,1.65,2.15
4,EHivfwU8,2024-11-29,03:00,COSTA RICA - PRIMERA DIVISION,Liberia,Saprissa,APERTURA ,3.9,3.6,1.8,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.67,2.1,3.9,1.24,2.0,1.8
5,zwFd5d05,2024-11-29,04:10,MEXICO - LIGA MX,Monterrey,U.N.A.M.- Pumas,APERTURA ,2.05,3.2,3.3,1.44,2.63,1.08,8.0,1.36,3.0,2.15,1.67,1.95,1.8,2.05,1.8,1.23,3.7
6,8A7PkhM7,2024-11-29,09:35,AUSTRALIA - A-LEAGUE,Adelaide United,Perth Glory,ROUND 6,1.4,5.0,6.0,1.18,4.5,1.01,23.0,1.08,8.0,1.33,3.4,1.44,2.63,1.4,2.85,1.12,6.25
7,vV3csVm3,2024-11-29,13:00,THAILAND - THAI LEAGUE 1,Prachuap,Nakhon Ratchasima FC,ROUND 15,1.44,4.1,6.0,1.36,2.9,1.04,10.0,1.25,3.7,1.8,1.95,1.83,1.8,1.44,2.45,1.11,5.5
8,UeO41czg,2024-11-29,13:30,BULGARIA - PARVA LIGA,Spartak Varna,CSKA 1948 Sofia,ROUND 17,2.38,3.1,2.75,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,1.91,1.8,2.38,1.55,1.43,2.75
9,zoumKicf,2024-11-29,14:00,ISRAEL - LIGAT HA'AL,Kiryat Shmona,Hapoel Haifa,ROUND 11,2.5,3.2,2.45,1.44,2.63,1.06,10.0,1.3,3.4,2.05,1.8,1.8,1.91,2.68,1.45,1.53,2.43
10,A5STH88b,2024-11-29,14:30,UKRAINE - PREMIER LEAGUE,Vorskla Poltava,Inhulets,ROUND 15,1.5,3.9,5.5,1.45,2.55,1.06,7.5,1.36,2.8,2.15,1.65,2.15,1.61,1.56,2.24,1.13,5.0
11,xxIbLO8d,2024-11-29,15:00,INDIA - ISL,East Bengal,North East Utd,ROUND 10,2.7,3.5,2.2,1.3,3.4,1.03,15.0,1.18,4.5,1.65,2.2,1.53,2.38,3.0,1.38,1.63,2.25
12,UPa7e1IO,2024-11-29,15:25,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Qadisiya,Al Khaleej,ROUND 12,1.4,3.9,6.5,1.4,2.75,1.02,11.0,1.29,3.5,1.88,1.93,2.0,1.73,1.53,2.43,1.16,5.25
13,rTPtA0XH,2024-11-29,15:40,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Nassr,Damac,ROUND 12,1.18,5.5,9.5,1.25,3.75,19.0,1.01,1.13,5.5,1.44,2.63,1.83,1.83,1.26,3.7,1.05,8.0
14,CpP3AhJN,2024-11-29,16:00,BULGARIA - PARVA LIGA,Septemvri Sofia,Cherno More,ROUND 17,6.5,3.75,1.44,1.5,2.5,1.07,8.5,1.4,2.75,2.2,1.65,2.38,1.53,5.75,1.14,2.43,1.53
15,tUvpz2lg,2024-11-29,18:00,CROATIA - HNL,Varazdin,Sibenik,ROUND 15,1.55,3.6,5.5,1.44,2.63,1.07,8.5,1.36,3.0,2.15,1.67,2.2,1.62,1.6,2.3,1.15,5.5
16,QRcnTnFr,2024-11-29,18:00,POLAND - EKSTRAKLASA,Cracovia,Zaglebie,ROUND 17,1.8,3.7,3.7,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.62,2.2,1.85,2.0,1.24,3.9
17,z3MYBM25,2024-11-29,18:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ahli SC,Al Wehda,ROUND 12,1.17,5.8,9.5,1.22,4.0,1.02,12.0,1.13,5.5,1.44,2.63,1.91,1.8,1.23,4.0,1.04,8.5
18,lpmJoGW9,2024-11-29,18:00,TURKEY - SUPER LIG,Antalyaspor,Sivasspor,ROUND 14,1.95,3.6,3.6,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.8,1.91,2.03,1.83,1.28,3.55
19,AiiFIAGP,2024-11-29,18:00,TURKEY - 1. LIG,Kocaelispor,Adanaspor AS,ROUND 14,1.33,4.4,7.5,1.36,3.0,1.05,11.0,1.29,3.5,1.9,1.9,2.2,1.62,1.38,3.0,1.06,7.0
20,tMdrjrS1,2024-11-29,18:30,GERMANY - 2. BUNDESLIGA,Magdeburg,Hertha Berlin,ROUND 14,2.38,3.8,2.5,1.25,3.75,1.03,17.0,1.14,5.5,1.5,2.5,1.44,2.63,2.38,1.55,1.5,2.5
21,UL12an5F,2024-11-29,18:30,GERMANY - 2. BUNDESLIGA,Schalke,Kaiserslautern,ROUND 14,2.1,3.7,3.0,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.53,2.38,2.15,1.68,1.38,3.0
22,hSrWnXeS,2024-11-29,18:30,SOUTH AFRICA - PREMIERSHIP,Supersport Utd,Marumo Gallants,ROUND 7,1.7,3.2,5.0,1.55,2.3,1.11,6.5,1.54,2.4,2.8,1.41,2.5,1.48,1.73,2.06,1.15,5.4
23,Wl29KVCU,2024-11-29,19:00,DENMARK - SUPERLIGA,Brondby,Aalborg,ROUND 17,1.33,5.0,7.0,1.25,3.75,1.02,19.0,1.14,5.5,1.48,2.6,1.7,2.05,1.38,3.0,1.1,7.0
24,ITSr42xJ,2024-11-29,19:00,DENMARK - 1ST DIVISION,Hvidovre IF,Hobro,ROUND 18,1.91,3.6,3.25,1.36,3.0,1.04,12.0,1.25,3.75,1.83,2.03,1.67,2.1,2.05,1.8,1.3,3.45
25,xdxlFSpK,2024-11-29,19:00,DENMARK - 1ST DIVISION,Kolding IF,Horsens,ROUND 18,2.6,3.25,2.4,1.5,2.5,1.07,9.0,1.36,3.0,2.15,1.67,1.91,1.8,2.6,1.48,1.53,2.43
26,6yQje2el,2024-11-29,19:00,GERMANY - 3. LIGA,Arminia Bielefeld,Ingolstadt,ROUND 16,1.91,3.6,3.25,1.33,3.25,1.04,13.0,1.2,4.33,1.67,2.15,1.57,2.25,2.0,1.85,1.3,3.45
27,vueMHzpA,2024-11-29,19:00,PORTUGAL - LIGA PORTUGAL 2,Academico Viseu,Leixoes,ROUND 12,2.3,3.0,2.9,1.53,2.38,1.1,7.0,1.44,2.63,2.35,1.57,2.0,1.73,2.3,1.6,1.35,3.1
28,O4ERLYS6,2024-11-29,20:00,NETHERLANDS - EREDIVISIE,Heerenveen,Waalwijk,ROUND 14,1.44,4.75,6.0,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.35,1.7,2.05,1.48,2.6,1.12,6.25
29,hCOXfqHD,2024-11-29,20:00,BELGIUM - CHALLENGER PRO LEAGUE,Genk U23,Waregem,ROUND 13,4.75,4.2,1.53,1.29,3.5,1.02,19.0,1.17,5.0,1.53,2.4,1.57,2.25,4.4,1.2,2.3,1.6
30,jmSGbRHl,2024-11-29,20:00,BELGIUM - CHALLENGER PRO LEAGUE,Lommel SK,Lokeren-Temse,ROUND 13,1.65,3.75,4.4,1.36,3.0,1.04,12.0,1.25,3.75,1.8,2.0,1.73,2.0,1.7,2.1,1.21,4.25
31,O65WxVeL,2024-11-29,20:00,HUNGARY - OTP BANK LIGA,Nyiregyhaza,Paks,ROUND 15,2.88,3.5,2.15,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.57,2.25,3.0,1.38,1.63,2.25
32,0SvVh3K8,2024-11-29,20:00,NETHERLANDS - EERSTE DIVISIE,Den Haag,FC Emmen,ROUND 17,2.0,3.4,3.25,1.3,3.4,1.03,15.0,1.18,4.5,1.65,2.2,1.57,2.25,2.03,1.83,1.3,3.45
33,Sr8Iqase,2024-11-29,20:00,NETHERLANDS - EERSTE DIVISIE,Eindhoven FC,Jong PSV,ROUND 17,1.73,3.8,3.9,1.25,3.75,1.02,19.0,1.13,6.0,1.44,2.7,1.44,2.63,1.7,2.1,1.23,4.1
34,WGE9oLCr,2024-11-29,20:00,NETHERLANDS - EERSTE DIVISIE,Excelsior,Jong Ajax,ROUND 17,1.36,4.8,6.0,1.18,4.5,1.01,29.0,1.08,8.0,1.33,3.4,1.5,2.5,1.38,3.0,1.13,6.0
