,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,EqSVJocc,2024-12-09,00:00,COSTA RICA - PRIMERA DIVISION,Herediano,Alajuelense,APERTURA ,2.5,3.0,2.88,1.53,2.38,1.08,7.5,1.4,2.75,2.35,1.57,2.0,1.73,2.43,1.53,1.4,2.85
2,nLhmHZeD,2024-12-09,00:00,HONDURAS - LIGA NACIONAL,Marathon,Olancho,APERTURA ,2.1,3.0,3.4,1.48,2.5,1.05,8.5,1.4,2.75,2.15,1.61,1.95,1.75,2.09,1.64,,
3,4zA79IAj,2024-12-09,00:30,BOLIVIA - DIVISION PROFESIONAL,Blooming,Oriente Petrolero,CLAUSURA ,2.5,3.2,2.5,1.33,3.25,1.04,13.0,1.22,4.0,1.98,1.83,1.67,2.1,2.0,1.8,1.24,3.9
4,rNAopuT9,2024-12-09,01:00,ARGENTINA - TORNEO BETANO,Newells Old Boys,Boca Juniors,ROUND 26,3.8,3.2,2.05,1.53,2.38,1.08,8.0,1.44,2.63,2.4,1.53,2.1,1.67,3.9,1.24,1.85,2.0
5,zeS8MwPk,2024-12-09,01:00,COLOMBIA - PRIMERA A,Dep. Pasto,Millonarios,CLAUSURA ,4.6,3.2,1.8,1.53,2.38,1.1,7.0,1.4,2.75,2.35,1.57,2.1,1.67,4.65,1.18,2.0,1.85
6,WMLHKHg2,2024-12-09,01:00,COLOMBIA - PRIMERA A,Santa Fe,Atl. Nacional,CLAUSURA ,2.75,2.9,2.7,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.0,1.73,2.75,1.43,1.45,2.68
7,8YNyH7Ik,2024-12-09,02:00,GUATEMALA - LIGA NACIONAL,Xelaju,Antigua,APERTURA ,1.8,3.0,4.6,1.43,2.6,1.07,8.0,1.37,2.88,2.28,1.57,2.07,1.68,1.8,1.95,,
8,8tMDU2BF,2024-12-09,02:00,MEXICO - LIGA MX,Cruz Azul,Club America,APERTURA ,2.15,3.1,3.2,1.53,2.38,1.1,7.0,1.5,2.5,2.5,1.5,2.1,1.67,2.2,1.65,1.33,3.3
9,Ii3AbZMF,2024-12-09,13:00,GREECE - SUPER LEAGUE 2,Makedonikos,PAOK B,ROUND 12,1.73,3.4,4.2,,,1.04,9.0,1.35,3.0,2.0,1.7,1.95,1.75,1.69,2.01,,
10,jwgsSTfT,2024-12-09,13:00,INDONESIA - LIGA 1,PSS Sleman,Persib Bandung,ROUND 13,3.4,3.1,2.1,1.45,2.55,1.04,8.5,1.35,2.9,2.05,1.7,1.85,1.83,3.05,1.3,1.66,2.05
11,0trim0m4,2024-12-09,13:30,GREECE - SUPER LEAGUE 2,Panionios,Panargiakos,ROUND 12,1.4,3.7,7.5,,,1.09,6.5,1.5,2.4,2.5,1.48,3.0,1.35,,,,
