,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,OtvXadNA,2024-12-04,00:00,BRAZIL - SERIE A BETANO,Corinthians,Bahia,ROUND 37,1.62,3.9,4.8,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.08,1.75,2.0,1.6,2.3,1.18,4.65
2,vieVBEzK,2024-12-04,01:00,BOLIVIA - DIVISION PROFESIONAL,Blooming,Aurora,CLAUSURA ,2.15,3.25,3.0,1.44,2.63,1.06,10.0,1.3,3.4,2.0,1.8,1.8,1.91,2.25,1.63,1.35,3.1
3,WldUQD34,2024-12-04,11:30,BULGARIA - PARVA LIGA,Beroe,Botev Vratsa,ROUND 18,1.75,3.1,4.6,1.62,2.2,1.11,6.5,1.53,2.38,2.7,1.44,2.5,1.5,1.83,2.03,1.18,4.65
4,2k04WX7K,2024-12-04,13:00,BOSNIA AND HERZEGOVINA - WWIN LIGA BIH,Sloga Doboj,Zeljeznicar,ROUND 16,3.5,3.2,1.91,1.43,2.63,1.04,9.0,1.33,3.1,1.95,1.75,1.83,1.85,,,1.61,2.13
5,Ua69H9Qj,2024-12-04,14:00,BULGARIA - PARVA LIGA,Arda,Ludogorets,ROUND 18,5.5,3.6,1.53,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,2.1,1.67,5.5,1.15,2.3,1.6
6,E5P2zVRN,2024-12-04,14:30,UKRAINE - PREMIER LEAGUE,Oleksandriya,Dyn. Kyiv,ROUND 1,3.5,3.25,2.0,1.43,2.6,1.07,8.5,1.4,2.85,2.33,1.57,2.02,1.72,3.6,1.27,1.74,2.04
7,b5otY1h2,2024-12-04,15:00,INDIA - ISL,Hyderabad,Goa,ROUND 11,5.0,4.4,1.44,1.29,3.5,1.02,19.0,1.17,5.0,1.53,2.4,1.62,2.2,4.5,1.19,2.38,1.55
8,tI0LWt23,2024-12-04,16:00,BOSNIA AND HERZEGOVINA - WWIN LIGA BIH,Sloboda,Siroki Brijeg,ROUND 16,4.6,3.75,1.57,1.33,3.0,1.02,10.5,1.25,3.5,1.8,1.91,1.85,1.85,,,2.18,1.58
9,x2RUOiYG,2024-12-04,16:30,BULGARIA - PARVA LIGA,Levski Sofia,Lok. Plovdiv,ROUND 18,1.25,4.8,9.5,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,2.38,1.53,1.3,3.45,,
10,6kqnJnNh,2024-12-04,16:30,SERBIA - SUPER LIGA,Partizan,Radnicki Nis,ROUND 5,1.25,5.0,8.5,1.25,3.55,1.03,10.0,1.17,4.75,1.48,2.5,1.8,1.95,,,,
