,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,Cn4YuSZh,2024-11-26,01:00,BOLIVIA - DIVISION PROFESIONAL,Oriente Petrolero,Santa Cruz,CLAUSURA ,1.36,4.4,6.5,1.3,3.4,1.04,13.0,1.2,4.33,1.67,2.15,1.83,1.83,1.43,2.75,1.12,6.4
2,f3NR6yKI,2024-11-26,01:15,ARGENTINA - TORNEO BETANO,Argentinos Jrs,Barracas Central,ROUND 24,1.5,3.8,7.0,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.5,1.5,1.5,2.5,1.11,6.8
3,0tON7H4C,2024-11-26,01:15,ARGENTINA - TORNEO BETANO,Belgrano,Ind. Rivadavia,ROUND 24,1.91,3.2,4.2,1.57,2.25,1.11,6.5,1.5,2.5,2.6,1.48,2.2,1.62,1.95,1.9,1.23,4.1
4,jc3nMAVi,2024-11-26,03:00,COSTA RICA - PRIMERA DIVISION,Santa Ana,Guanacasteca,APERTURA ,2.4,3.3,2.62,1.4,2.75,1.06,10.0,1.3,3.4,2.0,1.8,1.8,1.91,2.43,1.53,1.45,2.68
5,0QwKuo6e,2024-11-26,13:45,URUGUAY - PRIMERA DIVISION,River Plate,CA Cerro,CLAUSURA ,2.15,3.2,3.1,1.5,2.5,1.07,9.0,1.36,3.0,2.2,1.65,1.83,1.83,2.2,1.65,1.33,3.3
6,0p2VVwbE,2024-11-26,16:00,ROMANIA - LIGA 2,Steaua Bucuresti,Chindia Targoviste,ROUND 14,1.54,3.8,5.4,1.34,2.95,1.05,11.0,1.29,3.45,1.98,1.78,2.04,1.72,1.55,2.38,1.15,5.4
7,CCP2sBJk,2024-11-26,18:30,SOUTH AFRICA - PREMIERSHIP,Chippa Utd.,Supersport Utd,ROUND 8,3.1,2.9,2.3,1.54,2.3,1.11,6.75,1.52,2.45,2.75,1.43,2.18,1.63,3.3,1.32,1.56,2.35
8,nk451WAL,2024-11-26,18:30,SOUTH AFRICA - PREMIERSHIP,Royal AM,Golden Arrows,ROUND 8,2.15,3.0,3.25,1.48,2.45,1.09,7.5,1.43,2.7,2.43,1.52,2.0,1.74,2.33,1.58,1.32,3.3
9,KxTAukl2,2024-11-26,18:30,SOUTH AFRICA - PREMIERSHIP,Sekhukhune,TS Galaxy,ROUND 8,2.05,2.9,3.7,1.54,2.32,1.1,6.75,1.53,2.43,2.75,1.42,2.28,1.58,2.12,1.68,1.26,3.75
10,QsEpj1Xi,2024-11-26,18:45,EUROPE - CHAMPIONS LEAGUE,Slovan Bratislava,AC Milan,LEAGUE PHASE ,15.0,7.0,1.2,1.22,4.0,1.02,19.0,1.13,6.0,1.44,2.75,1.95,1.8,9.5,1.05,4.25,1.21
11,pYN6jABT,2024-11-26,18:45,EUROPE - CHAMPIONS LEAGUE,Sparta Prague,Atl. Madrid,LEAGUE PHASE ,5.5,3.8,1.67,1.36,3.0,1.05,11.0,1.29,3.75,1.9,2.0,1.91,1.91,5.25,1.16,2.3,1.6
12,YLnqVaS1,2024-11-26,20:00,NETHERLANDS - EERSTE DIVISIE,Cambuur,Den Bosch,ROUND 15,1.65,3.9,4.2,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.57,2.25,1.68,2.15,1.21,4.25
13,0Eadv45F,2024-11-26,20:00,NETHERLANDS - EERSTE DIVISIE,Jong Utrecht,Excelsior,ROUND 15,4.8,4.2,1.53,1.25,3.75,1.02,19.0,1.14,5.5,1.5,2.5,1.57,2.25,4.5,1.19,2.3,1.6
14,xfgzXLck,2024-11-26,20:00,NETHERLANDS - EERSTE DIVISIE,Roda,Vitesse,ROUND 15,1.5,4.2,5.0,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.57,2.25,1.58,2.35,1.16,5.25
15,MyS7z3gR,2024-11-26,20:30,SPAIN - LALIGA2,Almeria,Cordoba,ROUND 13,1.65,3.9,4.6,1.33,3.25,1.04,13.0,1.2,4.33,1.67,2.15,1.67,2.1,1.68,2.15,1.2,4.4
16,tznSwPz8,2024-11-26,20:30,URUGUAY - PRIMERA DIVISION,Rampla Juniors,Liverpool M.,CLAUSURA ,2.6,3.25,2.45,1.4,2.75,1.06,9.5,1.3,3.4,2.03,1.83,1.73,2.0,2.68,1.45,1.53,2.43
17,x40mil76,2024-11-26,20:45,ENGLAND - CHAMPIONSHIP,Burnley,Coventry,ROUND 17,2.2,3.3,3.5,1.44,2.63,1.07,9.0,1.36,3.2,2.1,1.73,1.83,1.83,2.1,1.7,1.33,3.3
18,bJldkSyJ,2024-11-26,20:45,ENGLAND - CHAMPIONSHIP,Hull,Sheffield Wed,ROUND 17,2.38,3.3,3.1,1.4,2.75,1.06,10.0,1.3,3.5,1.98,1.88,1.73,2.0,2.3,1.6,1.4,2.85
19,pANE79im,2024-11-26,20:45,ENGLAND - CHAMPIONSHIP,Norwich,Plymouth,ROUND 17,1.55,4.33,5.8,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.38,1.67,2.1,1.5,2.5,1.14,5.75
20,INLM5mMa,2024-11-26,20:45,ENGLAND - CHAMPIONSHIP,Sheffield Utd,Oxford Utd,ROUND 17,1.44,4.4,7.5,1.36,3.0,1.05,11.0,1.25,4.0,1.8,2.0,1.91,1.8,1.45,2.68,1.11,6.6
21,xQyO3RjC,2024-11-26,20:45,ENGLAND - CHAMPIONSHIP,Stoke,Preston,ROUND 17,2.25,3.25,3.4,1.44,2.63,1.07,8.5,1.36,3.2,2.2,1.67,1.83,1.83,2.15,1.68,1.35,3.1
22,l45tM86t,2024-11-26,20:45,ENGLAND - CHAMPIONSHIP,Watford,Bristol City,ROUND 17,2.45,3.4,2.9,1.4,2.75,1.06,10.0,1.3,3.5,1.98,1.88,1.73,2.0,2.35,1.58,1.43,2.75
