,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,xrkDKQao,2024-11-23,00:00,BRAZIL - SERIE B,Avai,Ponte Preta,ROUND 38,1.53,3.8,6.0,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,2.2,1.62,1.55,2.38,1.13,6.0
2,O6q50van,2024-11-23,01:00,BOLIVIA - DIVISION PROFESIONAL,Oriente Petrolero,Independiente,CLAUSURA ,1.55,3.9,4.8,1.3,3.4,1.04,13.0,1.18,4.5,1.65,2.2,1.73,2.0,1.5,2.5,1.12,6.25
3,dYr0tBQK,2024-11-23,01:30,BRAZIL - SERIE A BETANO,Fluminense,Fortaleza,ROUND 34,2.05,3.2,3.6,1.57,2.25,1.11,6.5,1.53,2.5,2.5,1.5,2.2,1.62,2.09,1.81,1.28,3.55
4,C2Y1D9hI,2024-11-23,01:30,BRAZIL - SERIE B,Ituano,Amazonas,ROUND 38,1.95,3.4,3.6,1.4,2.75,1.05,11.0,1.3,3.4,2.0,1.85,1.8,1.91,2.0,1.85,1.3,3.45
5,nugKCund,2024-11-23,06:00,SOUTH KOREA - K LEAGUE 1,Gangwon,Pohang,CHAMPIONSHIP GROUP ,2.05,3.4,3.5,1.44,2.63,1.07,9.0,1.33,3.25,2.08,1.73,1.83,1.83,2.05,1.75,1.3,3.45
6,jDaBE1Hq,2024-11-23,06:00,SOUTH KOREA - K LEAGUE 1,Gimcheon Sangmu,Seoul,CHAMPIONSHIP GROUP ,2.1,3.4,3.3,1.44,2.63,1.06,10.0,1.3,3.4,2.05,1.75,1.8,1.91,2.15,1.68,1.33,3.3
7,tvEuKNgM,2024-11-23,06:00,SOUTH KOREA - K LEAGUE 1,Ulsan HD,Suwon FC,CHAMPIONSHIP GROUP ,2.0,3.6,3.5,1.36,3.0,1.04,13.0,1.25,3.75,1.83,2.03,1.67,2.1,1.98,1.88,1.28,3.55
8,fm19gzNr,2024-11-23,07:00,AUSTRALIA - A-LEAGUE,Brisbane Roar,Adelaide United,ROUND 5,2.9,3.8,2.1,1.25,3.75,1.03,17.0,1.14,5.5,1.44,2.75,1.44,2.63,3.0,1.38,1.85,2.05
9,tSFajqxe,2024-11-23,09:30,INDONESIA - LIGA 1,Barito Putera,Persita,ROUND 11,1.95,3.25,3.5,1.45,2.55,1.04,8.5,1.35,2.9,2.05,1.67,1.95,1.75,1.85,1.9,1.22,3.6
10,Y1Cih57r,2024-11-23,09:30,INDONESIA - LIGA 1,Persik Kediri,PSIS Semarang,ROUND 11,1.6,3.6,4.8,1.42,2.65,1.04,8.5,1.33,3.0,2.0,1.73,1.95,1.75,1.64,2.09,1.17,4.3
11,neJGiEie,2024-11-23,09:35,AUSTRALIA - A-LEAGUE,Sydney FC,WS Wanderers,ROUND 5,1.65,4.2,4.2,1.25,3.75,1.02,19.0,1.14,5.5,1.44,2.75,1.5,2.5,1.68,2.15,1.23,4.0
12,hnLfWnhc,2024-11-23,10:00,ROMANIA - LIGA 2,Campulung,Ceahlaul,ROUND 14,5.0,4.0,1.5,1.28,3.3,1.03,13.0,1.22,3.95,1.77,1.97,1.94,1.78,5.0,1.16,2.18,1.64
13,YwAq8z67,2024-11-23,10:00,ROMANIA - LIGA 2,CSC Dumbravita,Selimbar,ROUND 14,1.83,3.3,3.7,1.42,2.65,1.07,9.0,1.36,3.0,2.23,1.62,1.94,1.79,2.12,1.68,1.3,3.4
14,nszJMZK0,2024-11-23,10:00,ROMANIA - LIGA 2,Csikszereda M. Ciuc,Mioveni,ROUND 14,1.29,4.33,9.0,1.3,3.15,1.03,12.0,1.23,3.8,1.81,1.92,2.18,1.62,1.3,3.3,1.04,8.0
15,MajvUHSQ,2024-11-23,10:00,ROMANIA - LIGA 2,CSM Focsani,Metaloglobus Bucharest,ROUND 14,4.75,3.4,1.62,1.4,2.7,1.06,9.0,1.34,3.1,2.16,1.66,2.02,1.72,4.8,1.17,2.08,1.71
16,SQvqAdye,2024-11-23,10:00,ROMANIA - LIGA 2,CSM Resita,Unirea Ungheni,ROUND 14,1.44,4.2,5.5,1.38,2.8,1.06,10.0,1.33,3.2,2.1,1.68,2.12,1.66,1.56,2.35,1.14,5.6
17,KfYQKDkD,2024-11-23,10:00,ROMANIA - LIGA 2,CSM Slatina,Concordia,ROUND 14,2.45,2.88,2.8,1.41,2.65,1.07,8.5,1.35,3.1,2.16,1.66,1.84,1.89,2.75,1.43,1.47,2.6
18,fDtyCI6r,2024-11-23,11:00,ROMANIA - LIGA 2,Metalul Buzau,Afumati,ROUND 14,2.7,3.0,2.45,1.4,2.75,1.06,9.0,1.33,3.2,2.1,1.68,1.81,1.92,3.05,1.36,1.56,2.35
19,pANvoeuf,2024-11-23,11:00,SINGAPORE - PREMIER LEAGUE,Young Lions,Albirex Niigata,ROUND 22,4.33,4.5,1.5,1.14,5.5,1.01,34.0,1.05,11.0,1.2,4.33,1.29,3.5,4.25,1.21,2.38,1.55
20,UsqWnbLa,2024-11-23,11:30,BULGARIA - PARVA LIGA,Arda,Lok. Plovdiv,ROUND 16,1.83,3.1,4.2,1.53,2.38,1.08,8.0,1.44,2.63,2.35,1.57,2.1,1.67,1.85,2.0,1.19,4.5
21,EkuvK9MU,2024-11-23,11:30,TURKEY - SUPER LIG,Eyupspor,Rizespor,ROUND 13,1.95,3.6,3.6,1.4,2.75,1.05,11.0,1.25,3.75,1.93,1.93,1.73,2.0,2.03,1.83,1.28,3.55
22,8tAe0jwp,2024-11-23,11:30,TURKEY - 1. LIG,Keciorengucu,Manisa FK,ROUND 13,2.4,3.2,2.6,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,1.8,1.91,2.43,1.53,1.48,2.6
23,C8BSPIJt,2024-11-23,12:00,PORTUGAL - LIGA PORTUGAL 2,Portimonense,Benfica B,ROUND 8,2.3,3.4,2.6,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.73,2.0,2.38,1.55,1.45,2.68
24,AymU6lCj,2024-11-23,12:00,THAILAND - THAI LEAGUE 1,Uthai Thani,Port MTI FC,ROUND 14,3.6,3.6,1.75,1.3,3.2,1.01,11.0,1.2,4.2,1.61,2.15,1.61,2.15,3.6,1.22,1.95,1.8
