,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,tbUjOc6j,2024-12-07,00:00,ARGENTINA - TORNEO BETANO,Sarmiento Junin,Defensa y Justicia,ROUND 26,3.2,3.0,2.38,1.57,2.25,1.11,6.5,1.5,2.5,2.5,1.5,2.05,1.7,3.3,1.33,1.55,2.38
2,f5IBEjLH,2024-12-07,02:30,COSTA RICA - PRIMERA DIVISION,San Carlos,Saprissa,APERTURA ,2.5,3.0,2.75,1.44,2.63,1.08,8.0,1.36,3.0,2.15,1.67,1.83,1.83,2.6,1.48,1.43,2.75
3,S2M3vggB,2024-12-07,05:00,AUSTRALIA - A-LEAGUE,Auckland FC,Wellington Phoenix,ROUND 7,1.83,3.5,4.0,1.44,2.63,1.07,9.0,1.33,3.4,2.1,1.73,1.95,1.8,1.87,2.03,1.22,4.15
4,IRoXKHdl,2024-12-07,05:05,JAPAN - J2 LEAGUE,Okayama,Vegalta Sendai,PROMOTION ,2.05,3.2,3.2,1.44,2.63,1.07,9.0,1.33,3.25,2.1,1.7,1.8,1.91,2.15,1.68,1.3,3.45
5,fsba2V5D,2024-12-07,08:00,AUSTRALIA - A-LEAGUE,Newcastle Jets,Adelaide United,ROUND 7,3.4,4.2,1.83,1.25,3.75,1.03,17.0,1.14,5.5,1.5,2.63,1.5,2.5,3.45,1.3,1.98,1.92
6,zwynQYcK,2024-12-07,08:00,AUSTRALIA - A-LEAGUE,Western United,Macarthur FC,ROUND 7,2.5,3.7,2.45,1.3,3.4,1.03,15.0,1.17,5.0,1.62,2.3,1.5,2.5,2.6,1.48,1.5,2.5
7,YN5W9UYp,2024-12-07,09:30,INDONESIA - LIGA 1,Malut United,Dewa United,ROUND 13,2.15,3.25,3.05,1.38,2.8,1.03,9.5,1.28,3.4,1.83,1.85,1.7,2.05,2.12,1.61,1.33,2.9
8,xhK0FjBN,2024-12-07,09:30,INDONESIA - LIGA 1,Persebaya,Arema FC,ROUND 13,1.91,3.1,3.9,1.48,2.5,1.05,8.0,1.36,2.8,2.1,1.65,1.95,1.75,1.95,1.8,1.22,3.6
9,GdpREuOF,2024-12-07,10:00,ROMANIA - LIGA 2,Concordia,Mioveni,ROUND 16,1.44,3.75,6.5,1.4,2.7,1.03,9.0,1.35,3.0,2.05,1.7,2.15,1.65,1.44,2.45,1.11,5.5
10,8CIy4O9c,2024-12-07,10:00,ROMANIA - LIGA 2,CSC Dumbravita,Afumati,ROUND 16,2.38,2.9,2.88,1.47,2.48,1.09,7.5,1.44,2.7,2.48,1.5,2.08,1.68,2.6,1.48,1.42,2.75
11,zP9h0t9M,2024-12-07,10:00,ROMANIA - LIGA 2,CSM Focsani,Selimbar,ROUND 16,2.8,3.0,2.38,1.45,2.55,1.08,8.0,1.41,2.8,2.35,1.56,2.0,1.74,2.88,1.4,1.52,2.45
12,rVWJG1g3,2024-12-07,10:00,ROMANIA - LIGA 2,CSM Slatina,Corvinul,ROUND 16,2.7,3.1,2.4,1.43,2.6,1.07,8.5,1.38,2.9,2.28,1.58,1.95,1.78,3.1,1.35,1.58,2.32
13,t6QktLHj,2024-12-07,11:00,ROMANIA - LIGA 2,CSM Resita,FC Voluntari,ROUND 16,2.3,3.1,2.8,1.44,2.6,1.08,8.0,1.38,2.9,2.28,1.58,1.93,1.8,2.48,1.5,1.38,2.9
14,CtTJXLGl,2024-12-07,11:30,BULGARIA - PARVA LIGA,Lok. Plovdiv,Beroe,ROUND 19,2.45,2.9,2.9,1.53,2.38,1.08,7.5,1.44,2.63,2.4,1.53,2.0,1.73,2.38,1.55,1.43,2.75
15,8Sdsx3aD,2024-12-07,11:30,TURKEY - SUPER LIG,Konyaspor,Antalyaspor,ROUND 15,1.95,3.4,3.75,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,1.83,1.83,1.98,1.88,1.25,3.8
16,vsbfvRxn,2024-12-07,11:30,TURKEY - 1. LIG,Erzurumspor,Adanaspor AS,ROUND 15,1.33,4.2,8.0,1.44,2.63,1.08,8.0,1.33,3.25,2.1,1.7,2.38,1.53,1.43,2.75,1.06,7.0
17,fJPyMqNH,2024-12-07,11:30,TURKEY - 1. LIG,Yeni Malatyaspor,Kocaelispor,ROUND 15,26.0,10.0,1.04,1.22,3.8,1.01,17.0,1.13,5.25,1.44,2.7,3.4,1.28,,,8.0,1.04
18,vFBVrDr9,2024-12-07,12:00,PORTUGAL - LIGA PORTUGAL 2,Feirense,Penafiel,ROUND 13,2.38,3.1,2.75,1.44,2.63,1.07,8.5,1.36,3.0,2.15,1.67,1.83,1.83,2.38,1.55,1.43,2.75
19,2HGcnmeJ,2024-12-07,12:00,THAILAND - THAI LEAGUE 1,Nakhon Pathom,Chiangrai Utd,ROUND 6,1.95,3.2,3.3,1.42,2.65,1.05,9.0,1.33,3.1,1.95,1.75,1.83,1.91,1.99,1.7,1.29,3.1
20,AgrOo6Br,2024-12-07,12:00,UKRAINE - PREMIER LEAGUE,Livyi Bereg,LNZ Cherkasy,ROUND 16,3.6,3.1,2.0,1.55,2.3,1.09,6.5,1.48,2.45,2.45,1.5,2.15,1.61,3.4,1.25,1.65,2.06
21,d0D6lNxq,2024-12-07,12:30,INDIA - ISL,Chennaiyin,East Bengal,ROUND 11,1.91,3.5,3.5,1.33,3.25,1.03,15.0,1.2,4.33,1.67,2.15,1.67,2.1,1.85,1.95,1.3,3.45
22,8QDiL7aJ,2024-12-07,13:00,BOSNIA AND HERZEGOVINA - WWIN LIGA BIH,Posusje,FK Sarajevo,ROUND 17,4.75,3.9,1.53,1.3,3.2,1.02,10.5,1.25,3.6,1.75,1.95,1.85,1.85,,,,
