,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,hA51VaX9,2024-12-12,00:00,BOLIVIA - DIVISION PROFESIONAL,Aurora,Royal Pari,CLAUSURA ,1.2,5.5,13.0,1.3,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.63,1.44,1.22,4.15,1.02,10.0
2,QN39Tw2M,2024-12-12,01:30,BOLIVIA - DIVISION PROFESIONAL,Guabira,Wilstermann,CLAUSURA ,1.75,3.3,4.2,1.36,3.0,1.04,13.0,1.25,3.75,1.8,2.0,1.8,1.91,1.6,2.3,1.18,4.8
3,d6r5zoRF,2024-12-12,02:00,HONDURAS - LIGA NACIONAL,Olancho,Olimpia,APERTURA ,4.6,3.2,1.75,1.45,2.55,1.05,8.5,1.36,2.8,2.15,1.65,2.0,1.7,,,1.83,1.9
4,zaGvIPR9,2024-12-12,03:00,COSTA RICA - PRIMERA DIVISION,Alajuelense,Herediano,APERTURA ,1.62,3.5,5.8,1.44,2.63,1.06,10.0,1.36,3.0,2.15,1.67,2.2,1.62,1.58,2.35,1.15,5.5
5,WfZdMbO7,2024-12-12,09:30,INDONESIA - LIGA 1,Arema FC,Persis Solo,ROUND 14,1.65,3.5,4.8,1.36,2.9,1.02,10.0,1.25,3.6,1.75,1.95,1.8,1.91,1.61,2.14,1.17,4.3
6,OUVlOKge,2024-12-12,09:30,INDONESIA - LIGA 1,PSBS Biak Numfor,Persita,ROUND 14,1.67,3.4,4.8,1.44,2.6,1.04,8.5,1.3,3.2,2.06,1.68,2.0,1.74,1.8,1.95,1.14,4.8
7,n3Hqp2GE,2024-12-12,13:00,INDONESIA - LIGA 1,Dewa United,Barito Putera,ROUND 14,1.57,3.9,5.0,1.26,3.4,1.02,14.0,1.18,4.6,1.62,2.18,1.61,2.18,1.61,2.23,1.14,4.8
8,bFnBiVPP,2024-12-12,14:00,EUROPE - CONFERENCE LEAGUE,Vikingur Reykjavik,Djurgarden,LEAGUE PHASE ,3.25,3.5,2.0,1.36,3.0,1.04,13.0,1.25,3.75,1.83,2.03,1.67,2.1,3.1,1.35,1.73,2.08
9,nm1uzqum,2024-12-12,15:00,INDIA - ISL,East Bengal,Odisha FC,ROUND 12,2.38,3.3,2.62,1.33,3.25,1.04,13.0,1.2,4.33,1.67,2.15,1.57,2.25,2.35,1.58,1.45,2.68
10,vHdpzlx2,2024-12-12,16:30,EUROPE - CONFERENCE LEAGUE,FC Astana,Chelsea,LEAGUE PHASE ,6.0,4.75,1.4,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.73,2.0,6.6,1.11,2.85,1.4
11,pdWDXoxn,2024-12-12,16:30,SERBIA - SUPER LIGA,Sp. Subotica,Partizan,ROUND 6,4.8,3.5,1.62,1.42,2.65,1.06,8.0,1.33,3.0,2.0,1.73,2.0,1.73,,,2.15,1.67
