,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,v7mD6TE8,2024-11-04,00:00,MEXICO - LIGA DE EXPANSION MX,Atlante,Tampico Madero,APERTURA ,1.2,5.5,11.0,1.35,2.95,1.04,10.0,1.22,3.55,1.77,1.87,2.4,1.52,1.25,3.4,1.03,9.0
2,dr23cyh2,2024-11-04,00:30,PARAGUAY - PRIMERA DIVISION,Ameliano,Olimpia Asuncion,CLAUSURA ,3.25,3.0,2.15,1.5,2.5,1.08,8.0,1.4,2.75,2.3,1.6,2.0,1.73,3.3,1.33,1.65,2.2
3,SKm9QS13,2024-11-04,00:30,USA - MLS,Houston Dynamo,Seattle Sounders,PLAY OFFS ,2.15,3.5,3.1,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,1.91,1.91,2.2,1.65,1.38,3.0
4,fygoJ8Vi,2024-11-04,02:00,USA - USL CHAMPIONSHIP,New Mexico,Phoenix Rising,PLAY OFFS ,2.1,3.3,3.3,1.38,2.75,1.02,8.5,1.32,2.95,2.04,1.65,1.87,1.85,2.12,1.67,1.29,3.1
5,MVdT00pJ,2024-11-04,02:45,USA - MLS,Vancouver Whitecaps,Los Angeles FC,PLAY OFFS ,2.5,3.9,2.4,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.5,2.5,2.43,1.53,1.53,2.43
6,0WhIerKG,2024-11-04,06:00,JAPAN - J2 LEAGUE,Kumamoto,Vegalta Sendai,ROUND 37,2.75,3.4,2.2,1.4,2.75,1.06,10.0,1.29,3.5,1.98,1.88,1.73,2.0,2.85,1.4,1.6,2.3
7,pjqawOWp,2024-11-04,09:00,AUSTRALIA - A-LEAGUE,Western United,Melbourne City,ROUND 3,3.2,3.9,1.95,1.29,3.5,1.03,15.0,1.2,4.5,1.62,2.3,1.53,2.38,3.3,1.33,1.84,2.06
8,Wb9psKsp,2024-11-04,09:30,INDONESIA - LIGA 1,Persita,Malut United,ROUND 10,2.7,2.88,2.6,1.57,2.25,1.1,6.0,1.5,2.45,2.45,1.48,2.1,1.65,2.63,1.4,1.44,2.45
9,CjOlb2fB,2024-11-04,12:00,UKRAINE - PREMIER LEAGUE,Obolon,Veres-Rivne,ROUND 12,2.62,3.0,2.6,1.45,2.5,1.08,8.0,1.45,2.63,2.5,1.5,2.18,1.63,2.8,1.41,1.54,2.43
10,SQ2gubCd,2024-11-04,13:00,INDONESIA - LIGA 1,PSM Makassar,Persik Kediri,ROUND 10,1.62,3.6,5.0,1.4,2.75,1.03,9.0,1.3,3.2,1.91,1.8,1.95,1.75,1.57,2.2,1.14,4.8
11,l2QKAxdR,2024-11-04,13:00,THAILAND - THAI LEAGUE 1,Lamphun Warrior,Pathum United,ROUND 12,3.05,3.4,2.1,1.33,3.0,1.02,10.0,1.22,3.9,1.7,2.1,1.55,2.2,2.9,1.33,1.66,2.04
12,WImGq3uI,2024-11-04,14:30,UKRAINE - PREMIER LEAGUE,Kryvbas,Rukh Lviv,ROUND 12,1.95,3.2,3.6,1.43,2.55,1.07,8.5,1.4,2.8,2.35,1.56,2.06,1.7,2.04,1.74,1.27,3.6
13,dM2MNKYP,2024-11-04,15:00,INDIA - ISL,Jamshedpur,Chennaiyin,ROUND 7,2.8,3.6,2.1,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.5,2.5,2.68,1.45,1.63,2.25
14,CpL6NMzi,2024-11-04,16:30,BULGARIA - PARVA LIGA,Septemvri Sofia,Botev Plovdiv,ROUND 14,5.5,3.75,1.5,1.44,2.63,1.07,8.5,1.36,3.0,2.15,1.67,2.25,1.57,5.9,1.13,2.5,1.5
15,QDjdOgMj,2024-11-04,16:30,GREECE - SUPER LEAGUE,Asteras Tripolis,OFI Crete,ROUND 10,2.0,3.4,3.3,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,1.91,1.91,2.08,1.73,1.33,3.3
16,0ChQbD15,2024-11-04,17:00,ROMANIA - LIGA 1,Unirea Slobozia,FC Botosani,ROUND 15,2.3,3.1,2.9,1.5,2.5,1.1,7.0,1.4,2.75,2.35,1.57,1.91,1.8,2.43,1.53,1.4,2.85
