,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,pvRGyUlA,2024-12-09,23:00,JAMAICA - PREMIER LEAGUE,Humble Lions,Mount Pleasant,ROUND 13,9.0,5.0,1.25,1.29,3.3,1.03,11.0,1.23,3.8,1.81,1.91,2.3,1.55,,,,
2,l0kCVuEG,2024-12-09,23:15,ARGENTINA - TORNEO BETANO,Argentinos Jrs,San Lorenzo,ROUND 26,1.91,3.0,4.6,1.67,2.1,1.14,5.5,1.62,2.2,3.1,1.36,2.5,1.5,1.98,1.88,1.2,4.4
3,A9j8WLbA,2024-12-09,23:15,ARGENTINA - TORNEO BETANO,Belgrano,Estudiantes L.P.,ROUND 26,2.7,3.0,2.7,1.53,2.38,1.08,8.0,1.4,2.75,2.35,1.57,1.95,1.8,2.68,1.45,1.45,2.68
4,j5mlMefd,2024-12-10,00:30,BOLIVIA - DIVISION PROFESIONAL,Independiente,Universitario de Vinto,CLAUSURA ,1.6,3.75,5.0,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.8,1.91,1.55,2.38,1.15,5.5
5,neHxn1bc,2024-12-10,01:30,ARGENTINA - TORNEO BETANO,Huracan,Platense,ROUND 26,2.3,2.6,4.0,2.0,1.8,1.22,4.0,2.0,1.73,4.33,1.2,3.25,1.33,2.35,1.58,1.26,3.7
6,xpAkqarG,2024-12-10,01:30,ARGENTINA - TORNEO BETANO,Independiente,Atl. Tucuman,ROUND 26,1.73,3.3,5.5,1.62,2.2,1.11,6.5,1.53,2.38,2.7,1.44,2.5,1.5,1.75,2.05,1.16,5.25
7,6gFPZ7JM,2024-12-10,01:45,JAMAICA - PREMIER LEAGUE,Arnett Gardens,Harbour View,ROUND 13,1.33,4.33,7.5,1.35,2.95,1.04,10.0,1.28,3.4,1.67,2.08,2.1,1.67,,,,
8,ANZDM7Ij,2024-12-10,09:30,INDONESIA - LIGA 1,Madura United,Semen Padang,ROUND 14,1.67,3.5,4.75,1.35,2.95,1.02,10.0,1.25,3.5,1.8,1.91,1.8,1.91,1.77,2.0,1.17,4.3
9,2HMapBAc,2024-12-10,13:00,INDONESIA - LIGA 1,Persija Jakarta,Borneo,ROUND 14,1.95,3.1,3.75,1.45,2.55,1.04,8.5,1.35,2.9,2.05,1.7,1.85,1.83,1.95,1.8,1.22,3.6
10,2ZgXhb1d,2024-12-10,16:00,ROMANIA - LIGA 2,Csikszereda M. Ciuc,Metaloglobus Bucharest,ROUND 16,1.8,3.25,4.0,1.43,2.63,1.07,8.5,1.38,2.9,2.28,1.58,2.02,1.73,1.95,1.81,1.24,3.85
11,tjni5ZSg,2024-12-10,18:30,SOUTH AFRICA - PREMIERSHIP,Mamelodi Sundowns,Chippa Utd.,ROUND 9,,,,,,,,,,,,,,,,,
12,8IXnE9fR,2024-12-10,18:30,SOUTH AFRICA - PREMIERSHIP,Orlando Pirates,Golden Arrows,ROUND 9,,,,,,,,,,,,,,,,,
13,v1OI8mIl,2024-12-10,18:30,SOUTH AFRICA - PREMIERSHIP,Stellenbosch,Royal AM,ROUND 9,,,,,,,,,,,,,,,,,
14,SW7P7Qbf,2024-12-10,18:45,EUROPE - CHAMPIONS LEAGUE,D. Zagreb,Celtic,LEAGUE PHASE ,3.1,3.5,2.3,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.1,1.62,2.2,3.0,1.38,1.68,2.15
15,xUXmvtM6,2024-12-10,18:45,EUROPE - CHAMPIONS LEAGUE,Girona,Liverpool,LEAGUE PHASE ,7.0,4.6,1.5,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.5,1.7,2.05,5.9,1.13,2.75,1.43
16,W0Qzpan3,2024-12-10,20:00,BOLIVIA - DIVISION PROFESIONAL,SA Bulo Bulo,Bolivar,CLAUSURA ,4.4,3.9,1.62,1.29,3.5,1.03,17.0,1.14,5.5,1.53,2.4,1.57,2.25,4.15,1.22,2.2,1.65
