,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,niPKTKkt,2024-12-13,01:00,JAMAICA - PREMIER LEAGUE,Arnett Gardens,Cavalier,ROUND 7,2.05,3.3,3.1,1.4,2.75,1.04,10.0,1.28,3.3,1.91,1.81,1.73,2.0,1.95,1.8,0.0,0.0
2,OKboGGu1,2024-12-13,02:30,HONDURAS - LIGA NACIONAL,Real Espana,Motagua,APERTURA ,2.62,2.8,2.7,1.53,2.35,1.06,7.5,1.44,2.6,2.3,1.55,2.0,1.73,0.0,0.0,0.0,0.0
3,ERlHjIYA,2024-12-13,03:00,MEXICO - LIGA MX,Club America,Monterrey,APERTURA ,1.91,3.2,3.8,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,2.0,1.75,1.98,1.88,1.23,4.0
4,KGFirtoR,2024-12-13,09:30,INDONESIA - LIGA 1,PSM Makassar,PSS Sleman,ROUND 14,1.5,3.75,6.0,1.4,2.7,1.03,9.0,1.33,3.1,1.95,1.75,2.1,1.65,1.44,2.45,1.1,5.5
5,YXIYGUK6,2024-12-13,09:35,AUSTRALIA - A-LEAGUE,Central Coast Mariners,Adelaide United,ROUND 8,2.9,3.6,2.25,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.38,1.5,2.5,2.85,1.4,1.65,2.2
6,2yJGxK8l,2024-12-13,13:00,INDONESIA - LIGA 1,Persib Bandung,Malut United,ROUND 14,1.5,3.6,6.0,1.34,2.95,1.04,10.5,1.27,3.45,1.95,1.79,1.97,1.76,1.55,2.35,1.1,5.5
7,6L9tf80l,2024-12-13,14:00,GREECE - SUPER LEAGUE 2,Kalamata,AEK Athens FC B,ROUND 13,1.33,4.33,8.0,0.0,0.0,1.03,10.0,1.3,3.2,1.91,1.8,2.37,1.53,0.0,0.0,0.0,0.0
8,W8WWqpte,2024-12-13,14:30,UKRAINE - PREMIER LEAGUE,Vorskla Poltava,Livyi Bereg,ROUND 17,1.67,3.3,5.0,1.55,2.3,1.09,6.5,1.48,2.5,2.37,1.5,2.25,1.57,1.67,2.04,1.14,4.8
9,82klYM9a,2024-12-13,15:00,INDIA - ISL,Jamshedpur,Punjab,ROUND 12,2.5,3.3,2.5,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.57,2.25,2.5,1.5,1.53,2.43
10,QyXedZcc,2024-12-13,16:00,ROMANIA - SUPERLIGA,FC Botosani,FC Hermannstadt,ROUND 20,2.3,3.0,3.0,1.53,2.38,1.08,8.0,1.44,2.63,2.35,1.57,2.0,1.73,2.38,1.55,1.38,3.0
11,r19nzN5j,2024-12-13,18:00,CROATIA - HNL,Slaven Belupo,Gorica,ROUND 17,1.75,3.4,4.4,1.44,2.63,1.05,11.0,1.3,3.4,2.03,1.83,1.91,1.8,1.73,2.08,1.2,4.4
12,rNIOJ0rg,2024-12-13,18:00,TURKEY - SUPER LIG,Bodrumspor,Sivasspor,ROUND 16,2.1,3.4,3.4,1.44,2.63,1.06,10.0,1.36,3.0,2.1,1.7,1.83,1.83,2.08,1.73,1.33,3.3
13,Aeur7Nbm,2024-12-13,18:00,TURKEY - SUPER LIG,Kasimpasa,Eyupspor,ROUND 16,2.15,3.6,3.1,1.33,3.25,1.04,13.0,1.22,4.0,1.7,2.1,1.62,2.2,2.15,1.68,1.38,3.0
14,M7OimMLG,2024-12-13,18:00,TURKEY - 1. LIG,Adanaspor AS,Yeni Malatyaspor,ROUND 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,MRK8uVJ7,2024-12-13,18:00,TURKEY - 1. LIG,Ankaragucu,Manisa FK,ROUND 16,1.55,3.8,5.0,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.8,1.91,1.6,2.3,1.19,4.5
16,ELehZhnn,2024-12-13,18:30,GERMANY - 2. BUNDESLIGA,Hertha Berlin,Preussen Munster,ROUND 16,1.65,4.0,4.75,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.62,2.2,1.63,2.25,1.2,4.4
17,hdjrHBWH,2024-12-13,18:30,GERMANY - 2. BUNDESLIGA,Karlsruher SC,Regensburg,ROUND 16,1.44,4.4,6.0,1.3,3.4,1.03,15.0,1.18,4.5,1.6,2.3,1.8,1.91,1.45,2.68,1.13,5.9
18,rFr81iSI,2024-12-13,18:30,SOUTH AFRICA - PREMIERSHIP,AmaZulu,Royal AM,ROUND 10,1.95,3.0,3.9,1.5,2.4,1.09,7.0,1.47,2.6,2.6,1.47,2.2,1.62,1.96,1.8,1.22,4.1
19,S24QY8qA,2024-12-13,19:00,GERMANY - 3. LIGA,SG Dynamo Dresden,Mannheim,ROUND 18,1.62,3.8,4.75,1.3,3.4,1.03,15.0,1.2,4.33,1.65,2.2,1.67,2.1,1.58,2.35,1.19,4.5
