,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,vRTrrwHF,2024-12-11,00:00,BOLIVIA - DIVISION PROFESIONAL,The Strongest,Tomayapo,CLAUSURA ,1.17,6.5,15.0,1.22,4.0,1.02,19.0,1.11,6.5,1.4,2.88,2.1,1.67,1.18,4.8,1.04,8.0
2,zgNitHoS,2024-12-11,01:30,BOLIVIA - DIVISION PROFESIONAL,Oriente Petrolero,Always Ready,CLAUSURA ,2.0,3.25,3.5,1.36,3.0,1.05,11.0,1.25,3.75,1.83,1.98,1.73,2.0,1.98,1.83,1.28,3.55
3,l6zpdr5j,2024-12-11,03:00,COSTA RICA - PRIMERA DIVISION,Saprissa,San Carlos,APERTURA ,1.75,3.4,4.6,1.36,3.0,1.05,11.0,1.25,3.75,1.8,2.0,1.8,1.91,1.63,2.25,1.18,4.8
4,bqG8rkuA,2024-12-11,09:30,INDONESIA - LIGA 1,Persebaya,Persik Kediri,ROUND 14,1.67,3.4,4.8,1.36,2.85,1.05,10.0,1.3,3.3,2.02,1.72,1.97,1.76,1.65,2.16,1.14,4.8
5,2FstQtPr,2024-12-11,13:00,INDONESIA - LIGA 1,PSIS Semarang,Bali United,ROUND 14,3.3,3.0,2.15,1.38,2.75,1.06,9.0,1.32,3.2,2.08,1.68,1.83,1.89,3.1,1.29,1.73,2.02
6,rHZ7hieE,2024-12-11,15:00,INDIA - ISL,Chennaiyin,Hyderabad,ROUND 12,1.75,3.6,4.0,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.67,2.1,1.75,2.05,1.21,4.25
7,lUMxu2ke,2024-12-11,16:30,EUROPE - EUROPA LEAGUE,Fenerbahce,Ath Bilbao,LEAGUE PHASE ,2.3,3.2,3.2,1.44,2.63,1.07,9.0,1.33,3.4,2.0,1.8,1.8,1.95,2.25,1.63,1.35,3.1
8,OIZchWtH,2024-12-11,18:45,EUROPE - CHAMPIONS LEAGUE,Atl. Madrid,Slovan Bratislava,LEAGUE PHASE ,1.07,12.0,34.0,1.17,5.0,1.01,26.0,1.08,8.0,1.29,3.75,2.38,1.53,1.1,7.0,,
9,OvRW7oGi,2024-12-11,18:45,EUROPE - CHAMPIONS LEAGUE,Lille,Sturm Graz,LEAGUE PHASE ,1.53,4.2,6.5,1.33,3.25,1.04,13.0,1.25,4.0,1.73,2.1,1.91,1.91,1.48,2.6,1.13,5.9
10,drChXL2c,2024-12-11,20:00,BOLIVIA - DIVISION PROFESIONAL,Santa Cruz,Blooming,CLAUSURA ,3.5,3.25,1.95,1.4,2.75,1.05,11.0,1.3,3.4,1.98,1.83,1.83,1.83,3.7,1.26,1.93,1.88
11,b78dN0pT,2024-12-11,20:45,ENGLAND - CHAMPIONSHIP,Cardiff,Preston,ROUND 20,2.3,3.1,3.2,1.5,2.5,1.07,9.0,1.36,3.2,2.2,1.67,1.83,1.83,2.25,1.63,1.35,3.1
12,ATbzEQW9,2024-12-11,20:45,ENGLAND - CHAMPIONSHIP,Hull,Watford,ROUND 20,2.3,3.3,3.0,1.4,2.75,1.05,11.0,1.29,3.75,1.9,1.95,1.67,2.1,2.3,1.6,1.4,2.85
13,dQY0aRHG,2024-12-11,20:45,ENGLAND - CHAMPIONSHIP,Millwall,Sheffield Utd,ROUND 20,2.9,2.9,2.6,1.57,2.25,1.1,7.0,1.5,2.63,2.5,1.53,2.1,1.67,2.75,1.43,1.53,2.43
