,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,6yfOSI4D,2024-12-02,00:00,VENEZUELA - LIGA FUTVE,Dep. Tachira,Carabobo,SUPER FINAL ,1.7,3.2,5.0,1.53,2.35,1.09,6.5,1.48,2.5,2.37,1.5,2.25,1.57,1.68,2.02,,
2,fu73iPX7,2024-12-02,00:30,BOLIVIA - DIVISION PROFESIONAL,Oriente Petrolero,GV San Jose,CLAUSURA ,1.57,3.9,4.7,1.29,3.5,1.03,15.0,1.17,5.0,1.54,2.35,1.62,2.2,1.58,2.35,1.16,5.25
3,pS8Kv7IE,2024-12-02,00:30,COLOMBIA - PRIMERA A,Junior,Once Caldas,CLAUSURA ,1.73,3.3,4.5,1.53,2.38,1.08,8.0,1.44,2.63,2.35,1.54,2.2,1.62,1.77,1.97,1.19,4.5
4,KpHJwIlt,2024-12-02,01:45,ARGENTINA - TORNEO BETANO,Boca Juniors,Gimnasia L.P.,ROUND 25,1.8,3.4,4.5,1.5,2.5,1.08,8.0,1.44,2.63,2.35,1.57,2.1,1.67,1.83,2.03,1.19,4.5
5,fBwUfMDl,2024-12-02,02:00,GUATEMALA - LIGA NACIONAL,Xelaju,Deportivo Mixco,APERTURA ,1.5,3.4,6.5,1.57,2.25,1.11,5.75,1.55,2.3,2.62,1.44,2.8,1.4,,,,
6,tGyOLHpn,2024-12-02,02:00,MEXICO - LIGA MX,U.A.N.L.- Tigres,Atl. San Luis,APERTURA ,1.36,4.6,6.5,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.7,2.05,1.43,2.75,1.12,6.4
7,OSIjlECO,2024-12-02,09:30,INDONESIA - LIGA 1,PSBS Biak Numfor,Malut United,ROUND 12,,,,,,,,,,,,,,,,,
8,Stq18Hct,2024-12-02,09:30,INDONESIA - LIGA 1,PSM Makassar,Borneo,ROUND 12,,,,,,,,,,,,,,,,,
9,OUsypz8M,2024-12-02,13:00,GREECE - SUPER LEAGUE 2,PAOK B,Niki Volos,ROUND 11,,,,,,,,,,,,,,,,,
10,z7n96eSh,2024-12-02,13:00,INDONESIA - LIGA 1,Madura United,Persebaya,ROUND 12,2.88,3.05,2.35,1.45,2.55,1.04,8.5,1.35,3.0,2.05,1.7,1.85,1.85,2.75,1.36,1.5,2.3
11,0S2IY0YA,2024-12-02,13:30,GREECE - SUPER LEAGUE 2,Panargiakos,Kalamata,ROUND 11,,,,,,,,,,,,,,,,,
12,2whXZNNk,2024-12-02,15:00,INDIA - ISL,Jamshedpur,Mohammedan,ROUND 10,1.95,3.5,3.2,1.32,3.05,1.03,9.5,1.23,3.65,1.71,2.0,1.6,2.17,1.95,1.73,1.29,3.1
13,SKyVY3z2,2024-12-02,16:00,EGYPT - PREMIER LEAGUE,Al Masry,Pyramids,ROUND 4,4.0,3.25,1.83,1.48,2.45,1.07,7.5,1.36,2.8,2.15,1.65,2.0,1.73,,,1.93,1.85
14,KfYMzQ5k,2024-12-02,16:00,EGYPT - PREMIER LEAGUE,Petrojet,Pharco,ROUND 4,,,,,,,,,,,,,,,,,
15,462uVyr1,2024-12-02,16:30,ROMANIA - SUPERLIGA,U. Cluj,UTA Arad,ROUND 18,1.65,3.6,4.6,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,2.0,1.73,1.7,2.1,1.2,4.4
16,2uPLJUwn,2024-12-02,17:00,UKRAINE - PREMIER LEAGUE,FK Zorya Luhansk,Karpaty Lviv,ROUND 15,2.6,3.2,2.5,1.48,2.45,1.07,7.5,1.4,2.8,2.15,1.61,1.91,1.8,2.33,1.52,1.44,2.45
17,2TOyZxm4,2024-12-02,18:00,TURKEY - SUPER LIG,Fenerbahce,Gaziantep,ROUND 14,1.25,6.0,10.0,1.22,4.0,1.02,21.0,1.13,6.0,1.4,2.88,1.83,1.83,1.25,3.8,,
18,W8GhVfnT,2024-12-02,18:00,TURKEY - SUPER LIG,Hatayspor,Besiktas,ROUND 14,3.7,3.8,1.85,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.62,2.2,3.7,1.26,1.89,1.84
19,hGMUAbcJ,2024-12-02,18:00,TURKEY - 1. LIG,Sakaryaspor,Boluspor,ROUND 14,2.15,3.2,3.0,1.44,2.63,1.07,8.5,1.33,3.25,2.1,1.7,1.83,1.83,2.25,1.63,1.35,3.1
20,A3Pz6O76,2024-12-02,18:30,DENMARK - 1ST DIVISION,Koge,Hillerod,ROUND 18,4.33,3.9,1.62,1.33,3.25,1.03,15.0,1.2,4.33,1.63,2.15,1.73,2.0,4.4,1.2,2.03,1.83
21,bNOS7hTO,2024-12-02,19:00,DENMARK - SUPERLIGA,FC Copenhagen,Nordsjaelland,ROUND 17,1.91,3.5,3.4,1.33,3.25,1.04,13.0,1.22,4.0,1.69,2.07,1.62,2.2,1.97,1.81,1.3,3.45
22,0AijtnrS,2024-12-02,19:00,EGYPT - PREMIER LEAGUE,Ghazl El Mahallah,Zamalek,ROUND 4,,,,,,,,,,,,,,,,,
23,lx57vMr9,2024-12-02,19:00,ISRAEL - LIGAT HA'AL,Maccabi Bnei Raina,Maccabi Tel Aviv,ROUND 11,5.75,4.2,1.44,1.36,3.0,1.04,13.0,1.25,3.75,1.83,2.03,2.0,1.73,5.5,1.15,2.6,1.48
24,MDskm86E,2024-12-02,19:00,POLAND - EKSTRAKLASA,Motor Lublin,Radomiak Radom,ROUND 17,2.2,3.4,2.88,1.36,3.0,1.05,11.0,1.25,3.75,1.85,2.0,1.62,2.2,2.25,1.63,1.38,3.0
25,G25SjJ4K,2024-12-02,19:30,ROMANIA - SUPERLIGA,Otelul,FCSB,ROUND 18,3.8,3.0,2.0,1.53,2.38,1.1,7.0,1.44,2.63,2.5,1.5,2.1,1.67,3.8,1.25,1.74,1.99
26,p69K5s4L,2024-12-02,19:45,PORTUGAL - LIGA PORTUGAL,Vitoria Guimaraes,Gil Vicente,ROUND 12,1.67,3.7,5.0,1.44,2.63,1.07,9.0,1.33,3.25,2.05,1.75,2.0,1.75,1.65,2.2,1.18,4.65
27,l2Sx6On1,2024-12-02,20:00,BOLIVIA - DIVISION PROFESIONAL,Guabira,Always Ready,CLAUSURA ,,,,,,,,,,,,,,,,,
28,ARP8fGeD,2024-12-02,20:00,NETHERLANDS - EERSTE DIVISIE,Jong AZ,Maastricht,ROUND 17,1.95,3.6,3.2,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.5,2.5,1.97,1.77,1.33,3.3
29,nchtjcB4,2024-12-02,20:30,SPAIN - LALIGA2,Eibar,FC Cartagena SAD,ROUND 17,1.48,4.35,5.75,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,2.25,1.57,1.5,2.5,1.12,6.4
30,ALQHQfvK,2024-12-02,20:45,ITALY - SERIE A,AS Roma,Atalanta,ROUND 14,3.2,3.4,2.2,1.36,3.0,1.05,11.0,1.25,4.0,1.8,2.0,1.67,2.1,3.0,1.38,1.68,2.15
31,fLSvBE4C,2024-12-02,21:00,SPAIN - LALIGA,Sevilla,Osasuna,ROUND 15,2.1,3.3,3.6,1.44,2.63,1.07,9.0,1.36,3.2,2.1,1.73,1.95,1.8,2.08,1.73,1.3,3.45
32,YTxuXXXN,2024-12-02,21:00,ARGENTINA - TORNEO BETANO,Barracas Central,Tigre,ROUND 25,3.1,3.2,2.3,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.05,1.7,3.45,1.3,1.65,2.2
33,GCxVfQk3,2024-12-02,21:45,PORTUGAL - LIGA PORTUGAL,FC Porto,Casa Pia,ROUND 12,1.18,6.5,15.0,1.25,3.75,1.03,17.0,1.17,5.0,1.53,2.4,2.1,1.67,1.2,4.4,,
34,llwPwaEt,2024-12-02,22:00,JAMAICA - PREMIER LEAGUE,Montego Bay,Cavalier,ROUND 12,,,,,,,,,,,,,,,,,
35,Ii7KULyQ,2024-12-02,23:00,JAMAICA - PREMIER LEAGUE,Harbour View,Vere United,ROUND 12,,,,,,,,,,,,,,,,,
