,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,8Ecsv645,2024-11-24,01:00,BOLIVIA - DIVISION PROFESIONAL,Royal Pari,Wilstermann,CLAUSURA ,2.1,3.1,3.3,1.5,2.5,1.07,9.0,1.36,3.0,2.15,1.67,1.91,1.8,2.25,1.63,1.38,3.0
2,jBO9nnmf,2024-11-24,01:30,BRAZIL - SERIE A BETANO,Sao Paulo,Atletico-MG,ROUND 35,1.73,3.4,4.75,1.62,2.2,1.13,6.0,1.53,2.5,2.7,1.44,2.25,1.57,1.99,1.91,1.21,4.25
3,vXrcMGJ5,2024-11-24,01:45,ARGENTINA - TORNEO BETANO,Huracan,Boca Juniors,ROUND 24,2.95,2.7,2.9,1.78,2.03,1.17,4.75,1.73,2.0,3.5,1.3,2.5,1.5,2.75,1.43,1.43,2.75
4,fk03ISUG,2024-11-24,02:00,COSTA RICA - PRIMERA DIVISION,San Carlos,Saprissa,APERTURA ,2.75,3.0,2.4,1.44,2.63,1.05,11.0,1.29,3.5,1.95,1.85,1.73,2.0,2.5,1.5,1.45,2.68
5,tCe1jlfl,2024-11-24,02:00,MEXICO - LIGA DE EXPANSION MX,Tapatio,Celaya,APERTURA ,2.7,3.4,2.45,1.36,2.88,1.05,9.5,1.23,3.55,1.78,1.87,1.65,2.12,2.63,1.4,1.53,2.4
6,YLWL5koB,2024-11-24,03:00,COSTA RICA - PRIMERA DIVISION,Alajuelense,Puntarenas FC,APERTURA ,1.22,5.5,10.0,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,2.1,1.67,1.28,3.55,1.04,8.0
7,0b9yyKnJ,2024-11-24,03:30,AUSTRALIA - A-LEAGUE,Wellington Phoenix,Melbourne Victory,ROUND 5,4.33,3.4,1.8,1.44,2.63,1.07,9.0,1.36,3.2,2.1,1.73,1.95,1.8,3.8,1.25,2.03,1.87
8,jLyWZRR1,2024-11-24,04:30,USA - MLS,Los Angeles FC,Seattle Sounders,PLAY OFFS ,1.91,3.6,3.7,1.4,2.75,1.05,11.0,1.3,3.4,2.03,1.83,1.91,1.91,1.95,1.9,1.28,3.55
9,EuGmryfn,2024-11-24,06:00,AUSTRALIA - A-LEAGUE,Macarthur FC,Auckland FC,ROUND 5,2.8,3.7,2.2,1.3,3.4,1.03,15.0,1.2,4.5,1.62,2.3,1.53,2.38,2.75,1.43,1.65,2.2
10,n7RlBys2,2024-11-24,06:00,SOUTH KOREA - K LEAGUE 1,Daegu,Incheon,RELEGATION GROUP ,2.3,3.4,2.9,1.44,2.63,1.06,9.5,1.3,3.4,2.05,1.75,1.8,1.91,2.3,1.6,1.4,2.85
11,2F9yZvZ8,2024-11-24,06:00,SOUTH KOREA - K LEAGUE 1,Daejeon,Jeju Utd,RELEGATION GROUP ,2.15,3.4,3.2,1.4,2.75,1.05,11.0,1.29,3.5,2.0,1.85,1.73,2.0,2.15,1.68,1.33,3.3
12,EuEsDcCk,2024-11-24,06:00,SOUTH KOREA - K LEAGUE 1,Gwangju FC,Jeonbuk,RELEGATION GROUP ,2.5,3.3,2.7,1.4,2.75,1.05,11.0,1.3,3.4,2.03,1.83,1.73,2.0,2.5,1.5,1.48,2.6
13,fTQuyTvK,2024-11-24,08:30,SOUTH KOREA - K LEAGUE 2,Seoul E-Land,Jeonnam,PLAY OFFS ,2.15,3.5,2.75,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.62,2.2,2.2,1.65,1.38,3.0
14,Ie7b5PQ8,2024-11-24,11:00,SINGAPORE - PREMIER LEAGUE,Hougang,Geylang,ROUND 22,4.1,4.5,1.52,1.14,5.5,1.01,34.0,1.05,11.0,1.2,4.33,1.29,3.5,4.4,1.2,2.43,1.53
15,zNz4qPE7,2024-11-24,11:15,BULGARIA - PARVA LIGA,Beroe,Septemvri Sofia,ROUND 16,1.53,3.5,5.8,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.38,1.53,1.6,2.3,1.13,5.9
16,xppFPDhg,2024-11-24,11:30,TURKEY - SUPER LIG,Sivasspor,Kasimpasa,ROUND 13,2.75,3.4,2.4,1.36,3.0,1.04,13.0,1.22,4.0,1.8,2.0,1.62,2.2,2.68,1.45,1.55,2.38
17,d2jjMXa3,2024-11-24,11:30,TURKEY - 1. LIG,Erzurumspor,Karagumruk,ROUND 13,2.15,3.1,3.1,1.5,2.5,1.07,8.5,1.36,3.0,2.15,1.67,1.91,1.8,2.2,1.65,1.35,3.1
18,pM9zOdlg,2024-11-24,12:00,PORTUGAL - LIGA PORTUGAL 2,Vizela,Oliveirense,ROUND 8,1.5,3.9,5.5,1.4,2.75,1.05,11.0,1.25,3.75,1.93,1.93,1.91,1.8,1.53,2.43,1.12,6.25
19,lOwuTvTh,2024-11-24,12:00,THAILAND - THAI LEAGUE 1,Nong Bua Pitchaya,Chiangrai Utd,ROUND 14,1.8,3.5,3.5,1.33,3.0,1.02,10.0,1.22,3.9,1.67,2.05,1.65,2.1,1.8,1.95,1.22,3.6
20,2yBJ1dI0,2024-11-24,12:00,UKRAINE - PREMIER LEAGUE,Obolon,Kryvbas,ROUND 14,4.33,3.3,1.75,1.41,2.65,1.07,9.0,1.4,2.85,2.35,1.56,2.25,1.58,4.1,1.22,1.98,1.78
21,Usgh7ZDD,2024-11-24,12:15,NETHERLANDS - EREDIVISIE,Nijmegen,Utrecht,ROUND 13,2.45,3.4,2.7,1.4,2.75,1.05,11.0,1.25,3.75,1.9,1.95,1.67,2.1,2.6,1.48,1.48,2.6
22,zcJ7zVM8,2024-11-24,12:15,POLAND - EKSTRAKLASA,Radomiak Radom,Stal Mielec,ROUND 16,1.85,3.5,3.6,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.75,2.0,1.93,1.93,1.26,3.7
23,b1PJHvvh,2024-11-24,12:30,ITALY - SERIE A,Genoa,Cagliari,ROUND 13,2.6,3.2,2.75,1.44,2.63,1.08,8.0,1.36,3.2,2.2,1.67,1.91,1.91,2.6,1.48,1.45,2.68
24,hrsAOejl,2024-11-24,12:30,ROMANIA - LIGA 2,FC Bihor,Corvinul,ROUND 14,3.6,3.3,1.92,1.38,2.75,1.06,9.5,1.35,3.1,2.16,1.66,1.96,1.77,3.8,1.25,1.84,1.92
25,QR97kY5b,2024-11-24,13:00,CZECH REPUBLIC - CHANCE LIGA,Bohemians,Dukla Prague,ROUND 16,1.62,3.75,4.6,1.36,3.0,1.05,11.0,1.25,3.75,1.83,2.03,1.8,1.95,1.58,2.35,1.16,5.25
26,lGDLOvyB,2024-11-24,13:00,HUNGARY - OTP BANK LIGA,Paks,Zalaegerszegi,ROUND 14,1.62,3.8,4.5,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.73,2.0,1.68,2.15,1.18,4.8
27,AwSmRIc5,2024-11-24,13:00,THAILAND - THAI LEAGUE 1,Lamphun Warrior,Prachuap,ROUND 14,2.15,3.3,2.75,1.38,2.8,1.04,10.0,1.28,3.4,1.83,1.91,1.7,2.0,2.23,1.56,1.36,2.75
