,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,pOYNV2J0,2024-12-14,00:00,BOLIVIA - DIVISION PROFESIONAL,Bolivar,Universitario de Vinto,CLAUSURA ,1.11,8.5,23.0,1.17,5.0,1.01,29.0,1.07,9.0,1.25,4.0,2.0,1.73,1.13,6.0,0.0,0.0
2,ruMLoh4E,2024-12-14,01:15,ARGENTINA - TORNEO BETANO,Banfield,Sarmiento Junin,ROUND 27,2.25,3.0,3.5,1.67,2.1,1.14,5.5,1.62,2.2,3.1,1.36,2.38,1.53,2.35,1.58,1.35,3.1
3,Ak60vAdl,2024-12-14,01:15,ARGENTINA - TORNEO BETANO,San Lorenzo,Tigre,ROUND 27,2.0,3.1,4.0,1.57,2.25,1.13,6.0,1.5,2.5,2.6,1.48,2.2,1.62,2.03,1.83,1.23,4.1
4,6wNWTtlD,2024-12-14,01:30,BOLIVIA - DIVISION PROFESIONAL,Nacional Potosi,Oriente Petrolero,CLAUSURA ,1.25,5.0,9.5,1.22,4.0,1.02,19.0,1.13,6.0,1.44,2.7,1.8,1.91,1.25,3.8,1.11,6.8
5,zTPBxXNN,2024-12-14,05:00,AUSTRALIA - A-LEAGUE,Wellington Phoenix,Macarthur FC,ROUND 8,2.25,3.4,3.0,1.36,3.0,1.04,13.0,1.25,4.0,1.8,2.0,1.67,2.1,2.15,1.68,1.4,2.85
6,UaCsF8kJ,2024-12-14,07:00,AUSTRALIA - A-LEAGUE,Sydney FC,Western United,ROUND 8,1.44,4.6,5.5,1.22,4.0,1.01,23.0,1.13,6.0,1.4,3.0,1.57,2.25,1.45,2.68,1.16,5.25
7,d64TxCsQ,2024-12-14,09:35,AUSTRALIA - A-LEAGUE,WS Wanderers,Brisbane Roar,ROUND 8,1.85,4.0,3.6,1.22,4.0,1.02,19.0,1.14,5.5,1.44,2.75,1.44,2.63,1.85,2.05,1.28,3.55
8,IPrlKz0e,2024-12-14,10:00,ROMANIA - LIGA 2,Afumati,Steaua Bucuresti,ROUND 17,3.05,3.05,2.25,1.42,2.63,1.07,8.5,1.37,3.0,2.23,1.62,1.91,1.82,3.2,1.33,1.61,2.28
9,MJQFYZEl,2024-12-14,10:00,ROMANIA - LIGA 2,Campulung,FC Arges,ROUND 17,6.4,5.75,1.3,1.24,3.6,1.02,16.0,1.2,4.2,1.71,2.06,2.38,1.52,9.0,1.03,2.33,1.56
10,UaA0Tvw9,2024-12-14,10:00,ROMANIA - LIGA 2,Chindia Targoviste,Csikszereda M. Ciuc,ROUND 17,3.6,3.05,2.02,1.41,2.65,1.07,9.0,1.35,3.1,2.16,1.66,1.87,1.85,3.8,1.25,1.75,2.02
11,jwsdIEU7,2024-12-14,10:00,ROMANIA - LIGA 2,FC Voluntari,CSC Dumbravita,ROUND 17,1.46,4.0,6.0,1.34,3.0,1.05,11.0,1.29,3.45,1.98,1.78,2.14,1.65,1.48,2.6,1.14,5.5
12,COwzDJhS,2024-12-14,10:00,ROMANIA - LIGA 2,Mioveni,U Craiova 1948,ROUND 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,jFb9RI7L,2024-12-14,10:00,ROMANIA - LIGA 2,Selimbar,FC Bihor,ROUND 17,2.12,3.15,3.25,1.42,2.65,1.07,9.0,1.37,3.0,2.23,1.62,1.94,1.79,2.17,1.66,1.32,3.3
14,MckuMdVr,2024-12-14,10:00,ROMANIA - LIGA 2,Unirea Ungheni,CSM Focsani,ROUND 17,1.75,3.3,4.3,1.41,2.7,1.07,9.0,1.36,3.0,2.23,1.62,2.02,1.72,1.81,1.95,1.2,4.35
15,ULoytIME,2024-12-14,11:00,ROMANIA - LIGA 2,Ceahlaul,CSM Resita,ROUND 17,2.12,2.9,3.55,1.43,2.63,1.07,8.5,1.35,3.1,2.16,1.66,1.82,1.91,2.16,1.66,1.27,3.6
16,2P47sike,2024-12-14,11:30,TURKEY - 1. LIG,Istanbulspor AS,Erzurumspor,ROUND 16,2.15,3.2,3.0,1.44,2.63,1.06,9.5,1.33,3.25,2.05,1.75,1.83,1.83,2.2,1.65,1.38,3.0
17,21MKjeS8,2024-12-14,11:30,TURKEY - 1. LIG,Sanliurfaspor,Pendikspor,ROUND 16,3.1,3.25,2.1,1.4,2.75,1.06,9.5,1.3,3.4,2.0,1.8,1.8,1.91,3.1,1.35,1.68,2.15
18,tvt0Xk5m,2024-12-14,11:45,AUSTRALIA - A-LEAGUE,Perth Glory,Newcastle Jets,ROUND 8,2.5,3.5,2.6,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.38,1.5,2.5,2.43,1.53,1.53,2.43
19,xhxze3H6,2024-12-14,12:00,HUNGARY - OTP BANK LIGA,MTK Budapest,Fehervar FC,ROUND 17,2.0,3.3,3.5,1.36,3.0,1.04,12.0,1.25,3.75,1.8,2.0,1.67,2.1,2.0,1.85,1.3,3.45
20,KWiowrCm,2024-12-14,12:00,PORTUGAL - LIGA PORTUGAL 2,Leiria,Pacos Ferreira,ROUND 14,2.0,3.25,3.3,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,1.91,1.8,2.08,1.73,1.3,3.45
21,YsdTg2LF,2024-12-14,12:00,UKRAINE - PREMIER LEAGUE,Oleksandriya,LNZ Cherkasy,ROUND 17,1.53,3.5,6.0,1.42,2.6,1.07,8.5,1.37,2.95,2.25,1.6,2.17,1.63,1.61,2.28,1.13,5.8
22,GShdW0vC,2024-12-14,12:30,INDIA - ISL,Bengaluru FC,Goa,ROUND 12,2.5,3.2,2.62,1.4,2.75,1.05,11.0,1.25,3.75,1.83,1.98,1.67,2.1,2.6,1.48,1.48,2.6
23,r1m9VAoB,2024-12-14,13:00,GERMANY - 2. BUNDESLIGA,Magdeburg,Paderborn,ROUND 16,2.7,3.5,2.45,1.3,3.4,1.04,13.0,1.2,4.33,1.67,2.15,1.53,2.38,2.68,1.45,1.58,2.35
24,Moa0XWGb,2024-12-14,13:00,GERMANY - 2. BUNDESLIGA,Schalke,Dusseldorf,ROUND 16,2.5,3.5,2.5,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.53,2.38,2.5,1.5,1.5,2.5
25,8rXmOSwo,2024-12-14,13:00,GERMANY - 2. BUNDESLIGA,Ulm,Hamburger SV,ROUND 16,3.75,3.8,1.85,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.62,2.2,3.55,1.28,2.0,1.85
26,GKOPjrL6,2024-12-14,13:00,GREECE - SUPER LEAGUE 2,Niki Volos,Kavala,ROUND 13,1.3,4.4,8.0,0.0,0.0,1.03,9.5,1.33,3.0,2.0,1.73,2.5,1.48,0.0,0.0,0.0,0.0
