,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
23,Maxln0E6,2024-11-22,18:00,MOROCCO - BOTOLA PRO,FAR Rabat,Union Touarga,ROUND 11,1.55,3.5,5.25,1.5,2.5,1.08,7.5,1.44,2.63,2.35,1.57,2.38,1.53,1.55,2.38,1.14,5.75
24,KK9PNiw3,2024-11-22,18:00,POLAND - EKSTRAKLASA,Zaglebie,Motor Lublin,ROUND 16,2.0,3.4,3.25,1.36,3.0,1.04,13.0,1.25,3.75,1.83,2.03,1.67,2.1,2.05,1.75,1.3,3.45
25,xYNxflsK,2024-11-22,18:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Nassr,Al Qadisiya,ROUND 11,1.36,4.33,6.0,1.3,3.4,1.01,15.0,1.2,4.33,1.62,2.25,1.8,1.91,1.48,2.6,1.15,5.5
26,jPRoB7i2,2024-11-22,18:00,TURKEY - 1. LIG,Pendikspor,Umraniyespor,ROUND 13,1.7,3.5,4.2,1.4,2.75,1.06,9.5,1.3,3.4,2.0,1.8,1.83,1.83,1.78,2.03,1.21,4.25
27,04Gll1uH,2024-11-22,18:30,GERMANY - 2. BUNDESLIGA,Paderborn,Nurnberg,ROUND 13,1.91,3.8,3.4,1.3,3.4,1.03,15.0,1.2,4.33,1.65,2.2,1.62,2.2,1.93,1.93,1.3,3.45
28,txiN20fA,2024-11-22,18:30,GERMANY - 2. BUNDESLIGA,Preussen Munster,FC Koln,ROUND 13,3.9,4.0,1.75,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.57,2.25,3.7,1.26,2.03,1.78
29,O6ecm1eJ,2024-11-22,18:30,GREECE - SUPER LEAGUE,Athens Kallithea,Panserraikos,ROUND 12,2.15,3.2,3.1,1.5,2.5,1.07,8.5,1.36,3.0,2.15,1.67,1.95,1.8,2.05,1.75,1.3,3.45
30,xdpX3Q36,2024-11-22,19:00,FRANCE - LIGUE 1,Monaco,Brest,ROUND 12,1.5,4.33,6.0,1.3,3.4,1.03,15.0,1.2,4.5,1.67,2.2,1.75,2.0,1.48,2.6,1.15,5.5
31,67AJBzUa,2024-11-22,19:00,DENMARK - SUPERLIGA,Nordsjaelland,Aarhus,ROUND 16,1.91,3.5,3.4,1.36,3.0,1.05,11.0,1.25,3.75,1.9,1.95,1.7,2.05,2.07,1.83,1.28,3.55
32,QyiE2k1E,2024-11-22,19:00,DENMARK - 1ST DIVISION,B.93,Hobro,ROUND 17,3.5,3.7,1.8,1.29,3.5,1.03,15.0,1.18,4.5,1.6,2.3,1.53,2.38,3.45,1.3,1.93,1.93
33,lzdggoO0,2024-11-22,19:00,DENMARK - 1ST DIVISION,Hvidovre IF,Roskilde,ROUND 17,1.44,4.2,5.5,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,1.73,2.0,1.53,2.43,1.15,5.5
34,zeQ8r4fo,2024-11-22,19:00,GERMANY - 3. LIGA,Viktoria Koln,Cottbus,ROUND 15,2.6,3.6,2.25,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.5,2.5,2.75,1.43,1.6,2.3
35,fyqcIbbe,2024-11-22,19:30,ROMANIA - LIGA 1,Farul Constanta,Otelul,ROUND 17,2.2,3.1,3.1,1.53,2.38,1.08,8.0,1.44,2.63,2.4,1.53,2.1,1.67,2.25,1.63,1.38,3.0
