,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,G6cWjDXQ,2024-11-15,00:30,SOUTH AMERICA - WORLD CHAMPIONSHIP,Paraguay,Argentina,QUALIFICATION ,5.5,3.5,1.65,1.67,2.1,1.14,5.5,1.57,2.25,2.88,1.4,2.5,1.5,4.8,1.18,2.0,1.85
2,MmzanXur,2024-11-15,01:00,SOUTH AMERICA - WORLD CHAMPIONSHIP,Ecuador,Bolivia,QUALIFICATION ,1.11,8.0,17.0,1.3,3.4,1.03,15.0,1.2,4.33,1.7,2.1,2.63,1.44,1.19,4.5,1.02,16.0
3,IXMkrg64,2024-11-15,01:00,COLOMBIA - PRIMERA A,Alianza,Bucaramanga,CLAUSURA ,2.7,2.9,2.6,1.57,2.25,1.1,7.0,1.5,2.5,2.6,1.48,2.2,1.62,2.75,1.43,1.48,2.6
4,CKikpFyh,2024-11-15,01:00,COLOMBIA - PRIMERA A,America De Cali,Once Caldas,CLAUSURA ,2.1,3.0,3.5,1.57,2.25,1.1,7.0,1.44,2.63,2.5,1.5,2.1,1.67,2.15,1.68,1.28,3.55
5,Ie5xZlTj,2024-11-15,01:00,COLOMBIA - PRIMERA A,Chico,Millonarios,CLAUSURA ,3.75,3.1,1.95,1.57,2.25,1.11,6.5,1.5,2.5,2.6,1.48,2.2,1.62,4.25,1.21,1.88,1.98
6,0tOWRXLN,2024-11-15,01:00,COLOMBIA - PRIMERA A,Dep. Pasto,Patriotas,CLAUSURA ,1.22,5.0,12.0,1.4,2.75,1.05,11.0,1.3,3.4,2.03,1.83,2.63,1.44,1.3,3.45,1.1,7.0
7,hGKOTgiB,2024-11-15,01:00,COLOMBIA - PRIMERA A,Deportes Tolima,Atl. Nacional,CLAUSURA ,1.44,4.0,7.0,1.4,2.75,1.07,9.0,1.3,3.4,2.05,1.8,2.1,1.67,1.48,2.6,1.12,6.4
8,nDE6vB5T,2024-11-15,01:00,COLOMBIA - PRIMERA A,Fortaleza,Aguilas,CLAUSURA ,1.29,4.5,10.0,1.44,2.63,1.06,10.0,1.36,3.0,2.1,1.7,2.75,1.4,1.3,3.45,1.11,6.8
9,4loXfWkA,2024-11-15,01:00,COLOMBIA - PRIMERA A,Ind. Medellin,Envigado,CLAUSURA ,1.33,4.4,8.0,1.36,3.0,1.05,11.0,1.22,4.0,1.8,2.0,2.0,1.73,1.4,2.85,1.12,6.25
10,KQ43MBqo,2024-11-15,01:00,COLOMBIA - PRIMERA A,Junior,Dep. Cali,CLAUSURA ,1.29,4.75,9.0,1.36,3.0,1.05,11.0,1.25,3.75,1.85,2.0,2.1,1.67,1.4,2.85,1.1,7.0
