,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,d6SPIPee,2024-12-03,00:30,COLOMBIA - PRIMERA A,Santa Fe,Dep. Pasto,CLAUSURA ,1.85,3.2,4.0,1.53,2.38,1.08,8.0,1.44,2.63,2.4,1.53,2.2,1.62,1.95,1.9,1.23,4.1
2,23sqWimU,2024-12-03,01:30,ARGENTINA - TORNEO BETANO,Ind. Rivadavia,Argentinos Jrs,ROUND 25,3.0,2.88,2.6,1.73,2.0,1.17,5.0,1.67,2.1,3.4,1.33,2.38,1.53,3.0,1.38,1.48,2.6
3,xdUX6IqJ,2024-12-03,01:30,JAMAICA - PREMIER LEAGUE,Waterhouse,Arnett Gardens,ROUND 12,2.75,3.1,2.38,1.5,2.4,1.09,6.5,1.46,2.55,2.55,1.46,1.95,1.75,,,,
4,rPuEIYIU,2024-12-03,02:00,ARGENTINA - TORNEO BETANO,Atl. Tucuman,Newells Old Boys,ROUND 25,1.83,3.4,4.4,1.5,2.5,1.08,7.5,1.44,2.63,2.35,1.57,2.1,1.67,1.83,2.03,1.2,4.4
5,GSpiMb2m,2024-12-03,02:30,COLOMBIA - PRIMERA A,Atl. Nacional,Millonarios,CLAUSURA ,2.0,3.1,3.6,1.57,2.25,1.1,7.0,1.5,2.5,2.5,1.5,2.1,1.67,2.03,1.83,1.23,4.0
6,WYuI4Zd5,2024-12-03,09:30,INDONESIA - LIGA 1,Arema FC,Persita,ROUND 12,1.5,3.7,5.8,1.42,2.65,1.04,8.5,1.3,3.25,2.02,1.71,2.05,1.7,1.5,2.3,1.11,5.5
7,4nvQ2DRH,2024-12-03,09:30,INDONESIA - LIGA 1,Dewa United,PSS Sleman,ROUND 12,1.53,4.0,5.0,1.3,3.2,1.01,11.0,1.2,4.0,1.65,2.1,1.73,2.0,1.53,2.25,1.14,4.8
8,rTFZ4Wto,2024-12-03,11:30,BULGARIA - PARVA LIGA,CSKA 1948 Sofia,Septemvri Sofia,ROUND 18,1.33,4.2,8.0,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,2.5,1.5,1.4,2.85,1.1,7.0
9,zq8I8UFD,2024-12-03,13:00,BOSNIA AND HERZEGOVINA - WWIN LIGA BIH,Igman K.,Velez Mostar,ROUND 16,5.5,4.0,1.44,1.33,3.0,1.02,10.5,1.25,3.7,1.73,2.0,1.91,1.8,,,,
10,OlfR0idU,2024-12-03,13:00,INDONESIA - LIGA 1,Persis Solo,Barito Putera,ROUND 12,1.65,3.6,4.33,1.38,2.8,1.03,9.5,1.28,3.4,1.83,1.85,1.83,1.85,1.65,2.06,1.18,4.0
11,bybMSZYi,2024-12-03,14:00,BULGARIA - PARVA LIGA,Cherno More,Lok. Sofia,ROUND 18,1.3,4.33,9.0,1.44,2.63,1.06,10.0,1.36,3.0,2.1,1.7,2.63,1.44,1.38,3.0,,
12,EVbTUKWF,2024-12-03,16:00,BOSNIA AND HERZEGOVINA - WWIN LIGA BIH,Radnik Bijeljina,FK Sarajevo,ROUND 16,5.75,4.2,1.4,1.3,3.2,1.02,10.0,1.22,3.8,1.7,2.05,1.91,1.8,,,,
