,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,SlBBcd9a,2024-11-12,00:00,PARAGUAY - PRIMERA DIVISION,Ameliano,2 de Mayo,CLAUSURA ,2.3,2.88,3.2,1.67,2.1,1.14,5.5,1.57,2.25,2.88,1.4,2.25,1.57,2.43,1.53,1.35,3.1
2,lK95F3W0,2024-11-12,00:20,COLOMBIA - PRIMERA A,Once Caldas,Junior,CLAUSURA ,1.85,3.2,4.0,1.53,2.38,1.08,8.0,1.44,2.63,2.35,1.57,2.1,1.67,1.93,1.93,1.22,4.15
3,j9aH4ih3,2024-11-12,01:00,ARGENTINA - TORNEO BETANO,Argentinos Jrs,Banfield,ROUND 22,1.75,3.3,5.0,1.57,2.25,1.11,6.5,1.5,2.5,2.5,1.5,2.25,1.57,1.73,2.08,1.16,5.25
4,CI0D5Xxc,2024-11-12,01:00,ARGENTINA - TORNEO BETANO,Belgrano,Instituto,ROUND 22,2.6,3.1,2.8,1.57,2.25,1.1,7.0,1.5,2.5,2.5,1.5,2.1,1.67,2.68,1.45,1.45,2.68
5,W42VXeOQ,2024-11-12,01:00,BRAZIL - SERIE B,Coritiba,Santos,ROUND 36,3.4,3.1,2.15,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.1,1.67,3.55,1.28,1.68,2.15
6,YDlcTFWs,2024-11-12,01:00,BRAZIL - SERIE B,Paysandu PA,Brusque,ROUND 36,1.53,3.75,6.5,1.44,2.63,1.06,10.0,1.36,3.0,2.1,1.7,2.2,1.62,1.5,2.5,1.13,6.0
7,S4FXsBAj,2024-11-12,01:30,JAMAICA - PREMIER LEAGUE,Arnett Gardens,Tivoli,ROUND 9,1.53,4.0,4.8,1.33,3.1,1.03,10.0,1.22,3.8,1.7,2.05,1.75,1.95,1.6,2.2,,
8,ARJPKb8t,2024-11-12,02:30,COLOMBIA - PRIMERA A,America De Cali,Santa Fe,CLAUSURA ,1.83,3.2,4.2,1.53,2.38,1.1,7.0,1.44,2.63,2.5,1.5,2.2,1.62,1.88,1.98,1.19,4.5
9,QHGN2KCU,2024-11-12,18:30,ROMANIA - LIGA 2,Concordia,Csikszereda M. Ciuc,ROUND 13,2.88,2.9,2.38,1.5,2.4,1.09,7.0,1.44,2.7,2.48,1.5,1.98,1.76,3.4,1.3,1.57,2.35
10,MZKvBYGD,2024-11-12,23:00,BRAZIL - SERIE B,America MG,Ituano,ROUND 36,1.44,4.2,6.5,1.36,3.0,1.04,13.0,1.22,4.0,1.8,2.0,1.91,1.8,1.48,2.6,1.13,5.9
11,fk8zOlJM,2024-11-12,23:00,URUGUAY - PRIMERA DIVISION,Maldonado,Racing Montevideo,CLAUSURA ,3.2,3.1,2.15,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.1,1.67,3.45,1.3,1.65,2.2
12,xdKSpQD6,2024-11-12,23:30,VENEZUELA - LIGA FUTVE,Caracas,Dep. Tachira,CLAUSURA ,3.4,2.9,2.15,1.6,2.2,1.1,6.0,1.5,2.4,2.5,1.48,2.15,1.61,,,1.6,2.15
13,bB8yq4rJ,2024-11-12,23:30,VENEZUELA - LIGA FUTVE,Zamora,Rayo Zuliano,CLAUSURA ,2.45,3.1,2.7,1.45,2.55,1.06,7.5,1.36,2.9,2.1,1.67,1.85,1.85,1.95,1.8,,
