,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,WpSNQjSl,2024-12-14,23:15,ARGENTINA - TORNEO BETANO,Boca Juniors,Independiente,ROUND 27,2.2,3.0,3.5,1.57,2.25,1.1,7.0,1.5,2.5,2.6,1.48,2.2,1.62,2.15,1.68,1.3,3.45
2,bVUbXFf5,2024-12-15,01:00,BOLIVIA - DIVISION PROFESIONAL,Blooming,Guabira,CLAUSURA ,1.91,3.3,3.75,1.4,2.75,1.05,11.0,1.29,3.5,1.9,1.9,1.8,1.91,1.9,1.9,1.28,3.55
3,OEL5y8t7,2024-12-15,01:15,ARGENTINA - TORNEO BETANO,Racing Club,River Plate,ROUND 27,3.1,3.5,2.15,1.4,2.75,1.05,11.0,1.25,3.75,1.88,1.98,1.7,2.05,3.1,1.35,1.68,2.15
4,25AxIxBl,2024-12-15,02:30,HONDURAS - LIGA NACIONAL,Olimpia,Olancho,APERTURA ,1.44,3.9,5.75,1.36,2.85,1.02,10.5,1.28,3.4,1.85,1.85,2.0,1.73,0.0,0.0,0.0,0.0
5,fD6rXAoo,2024-12-15,07:00,AUSTRALIA - A-LEAGUE,Melbourne City,Auckland FC,ROUND 8,2.3,3.5,2.9,1.36,3.0,1.04,13.0,1.25,4.0,1.8,2.0,1.67,2.1,2.2,1.65,1.4,2.85
6,WGAXYy8D,2024-12-15,09:30,INDONESIA - LIGA 1,Semen Padang,Persebaya,ROUND 15,4.4,3.25,1.75,1.48,2.5,1.05,8.0,1.4,2.75,2.2,1.61,2.1,1.65,4.3,1.17,1.95,1.8
7,SdBvvdAj,2024-12-15,11:00,GREECE - SUPER LEAGUE 2,PAE Egaleo,Panionios,ROUND 13,4.5,3.1,1.75,1.55,2.1,1.11,5.75,1.53,2.3,2.6,1.44,2.4,1.5,0.0,0.0,2.0,1.77
8,A9KGLMDt,2024-12-15,11:30,TURKEY - SUPER LIG,Hatayspor,Goztepe,ROUND 16,2.88,3.4,2.38,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.73,2.0,2.75,1.43,1.58,2.35
9,ARPSlZdL,2024-12-15,11:30,TURKEY - 1. LIG,Bandirmaspor,Genclerbirligi,ROUND 16,1.95,3.25,3.4,1.44,2.63,1.06,9.5,1.33,3.25,2.05,1.75,1.83,1.83,2.0,1.8,1.3,3.45
10,GMaIyjht,2024-12-15,12:00,PORTUGAL - LIGA PORTUGAL 2,Felgueiras,Vizela,ROUND 14,2.2,3.2,2.9,1.44,2.63,1.06,9.5,1.3,3.4,2.05,1.75,1.8,1.91,2.25,1.63,1.38,3.0
11,bPZ4n8CG,2024-12-15,12:00,THAILAND - THAI LEAGUE 1,Chiangrai Utd,Muang Thong Utd,ROUND 7,3.9,3.5,1.7,1.36,2.85,1.05,9.0,1.28,3.4,1.83,1.91,1.75,1.95,3.75,1.2,1.95,1.8
12,ANk7nKDk,2024-12-15,12:00,UKRAINE - PREMIER LEAGUE,Inhulets,Kolos Kovalivka,ROUND 17,4.2,3.1,1.85,1.46,2.48,1.08,7.5,1.45,2.65,2.5,1.5,2.14,1.65,2.2,1.64,1.32,3.25
13,KAWUwS5k,2024-12-15,12:15,NETHERLANDS - EREDIVISIE,Utrecht,G.A. Eagles,ROUND 16,2.0,3.6,3.4,1.33,3.25,1.04,13.0,1.22,4.0,1.7,2.1,1.62,2.2,2.02,1.88,1.3,3.45
14,jskxyxbd,2024-12-15,12:30,ITALY - SERIE A,Lecce,Monza,ROUND 16,2.4,3.1,3.1,1.53,2.38,1.1,7.0,1.44,2.75,2.5,1.53,2.0,1.75,2.38,1.55,1.38,3.0
15,8fP57cGk,2024-12-15,12:30,ROMANIA - LIGA 2,Corvinul,Concordia,ROUND 17,1.8,3.35,4.0,1.38,2.8,1.06,9.5,1.33,3.2,2.1,1.68,1.94,1.79,1.84,1.93,1.22,4.1
16,KjbQ1a2c,2024-12-15,12:45,GREECE - SUPER LEAGUE 2,Kifisia,Panachaiki,ROUND 13,1.2,5.0,13.0,0.0,0.0,1.04,9.0,1.36,2.87,2.1,1.65,3.5,1.25,0.0,0.0,0.0,0.0
17,ns0D3rYG,2024-12-15,13:00,BOSNIA AND HERZEGOVINA - WWIN LIGA BIH,Sloga Doboj,Posusje,ROUND 14,2.45,3.1,2.62,1.41,2.65,1.06,8.5,1.36,2.9,2.23,1.58,1.98,1.75,1.8,1.87,1.5,2.36
18,viTLLdnf,2024-12-15,13:00,CZECH REPUBLIC - CHANCE LIGA,Sparta Prague,Jablonec,ROUND 19,1.57,4.0,5.0,1.33,3.25,1.03,15.0,1.2,4.33,1.65,2.2,1.75,2.0,1.55,2.38,1.16,5.25
19,je4n47fK,2024-12-15,13:00,HUNGARY - OTP BANK LIGA,Ujpest,Kecskemeti TE,ROUND 17,1.75,3.5,4.5,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,1.8,1.91,1.68,2.15,1.19,4.5
20,bN2Jdu0K,2024-12-15,13:00,INDONESIA - LIGA 1,Bali United,Persija Jakarta,ROUND 15,2.0,3.2,3.4,1.42,2.65,1.03,9.0,1.3,3.2,1.91,1.8,1.75,1.95,1.95,1.8,1.29,3.1
21,04KbzfT1,2024-12-15,13:00,SERBIA - SUPER LIGA,Napredak,Radnicki Nis,ROUND 19,2.6,3.25,2.4,1.4,2.7,1.05,8.5,1.3,3.2,1.95,1.8,1.75,1.95,0.0,0.0,1.59,2.18
22,xrJ6FC3s,2024-12-15,13:30,BELGIUM - JUPILER PRO LEAGUE,Club Brugge KV,Genk,ROUND 18,1.73,3.9,4.33,1.3,3.4,1.03,15.0,1.18,4.5,1.6,2.3,1.62,2.2,1.65,2.2,1.21,4.25
23,AD40ECT9,2024-12-15,13:30,BELGIUM - CHALLENGER PRO LEAGUE,Genk U23,Patro Eisden,ROUND 15,4.6,3.8,1.67,1.33,3.25,1.03,15.0,1.2,4.33,1.67,2.15,1.73,2.0,4.5,1.19,2.25,1.63
24,jRjHTlGN,2024-12-15,13:30,GERMANY - 2. BUNDESLIGA,Braunschweig,Elversberg,ROUND 16,2.8,3.5,2.3,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.62,2.2,2.75,1.43,1.6,2.3
25,l4gRKgXh,2024-12-15,13:30,GERMANY - 2. BUNDESLIGA,FC Koln,Nurnberg,ROUND 16,1.65,4.0,4.6,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.35,1.62,2.2,1.6,2.3,1.18,4.8
26,Q9ljFk1U,2024-12-15,13:30,GERMANY - 2. BUNDESLIGA,Greuther Furth,Hannover,ROUND 16,2.8,3.5,2.3,1.33,3.25,1.03,15.0,1.2,4.33,1.67,2.15,1.57,2.25,2.75,1.43,1.63,2.25
27,M51IzVEc,2024-12-15,13:30,GERMANY - 3. LIGA,Cottbus,Hansa Rostock,ROUND 18,2.5,3.3,2.5,1.33,3.25,1.04,13.0,1.18,4.5,1.67,2.15,1.5,2.5,2.5,1.5,1.45,2.68
28,8fLHh4jf,2024-12-15,13:30,GREECE - SUPER LEAGUE 2,Diagoras,Ethnikos Neou,ROUND 13,2.2,2.8,3.2,0.0,0.0,1.08,6.5,1.53,2.38,2.75,1.4,2.2,1.62,2.23,1.56,0.0,0.0
29,Qs6LJrmp,2024-12-15,14:00,SPAIN - LALIGA,Atl. Madrid,Getafe,ROUND 17,1.4,4.2,9.0,1.44,2.63,1.07,9.0,1.4,3.0,2.2,1.67,2.63,1.44,1.4,2.85,1.1,7.0
30,Wp4IjFDr,2024-12-15,14:00,SERBIA - SUPER LIGA,Cukaricki,OFK Beograd,ROUND 19,1.8,3.4,3.8,1.4,2.75,1.05,8.5,1.3,3.25,1.91,1.83,1.8,1.91,1.83,1.95,0.0,0.0
31,fcYC93Pi,2024-12-15,14:00,SPAIN - LALIGA2,Gijon,Racing Club Ferrol,ROUND 19,1.5,3.75,7.0,1.53,2.38,1.08,8.0,1.44,2.63,2.35,1.57,2.5,1.5,1.55,2.38,1.11,6.8
32,Wrk61JSO,2024-12-15,14:00,TURKEY - SUPER LIG,Antalyaspor,Kayserispor,ROUND 16,2.05,3.6,3.25,1.36,3.0,1.04,13.0,1.25,3.75,1.85,2.0,1.67,2.1,2.08,1.73,1.33,3.3
33,lfQqkri4,2024-12-15,14:00,TURKEY - 1. LIG,Corum,Amedspor,ROUND 16,2.25,3.1,2.88,1.5,2.5,1.08,8.0,1.36,3.0,2.2,1.65,1.83,1.83,2.35,1.58,1.38,3.0
34,lYCf3YBE,2024-12-15,14:00,TURKEY - 1. LIG,Umraniyespor,Keciorengucu,ROUND 16,2.05,3.3,3.1,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.85,1.73,2.0,2.1,1.7,1.35,3.1
35,GIiZawX9,2024-12-15,14:15,GREECE - SUPER LEAGUE 2,Panargiakos,PAE Chania,ROUND 13,2.62,2.8,2.62,0.0,0.0,1.11,5.75,1.55,2.3,2.62,1.44,2.2,1.61,0.0,0.0,0.0,0.0
36,AkjNtj0m,2024-12-15,14:15,SWITZERLAND - SUPER LEAGUE,Young Boys,Servette,ROUND 18,2.1,3.6,2.88,1.29,3.5,1.03,15.0,1.17,5.0,1.6,2.3,1.5,2.5,2.1,1.7,1.38,3.0
37,C2vcs1Cs,2024-12-15,14:30,NETHERLANDS - EREDIVISIE,Nijmegen,Sparta Rotterdam,ROUND 16,2.0,3.5,3.5,1.4,2.75,1.05,11.0,1.25,3.75,1.9,1.95,1.75,2.0,2.01,1.89,1.26,3.7
38,0QkbqlrS,2024-12-15,14:30,NETHERLANDS - EREDIVISIE,Twente,Groningen,ROUND 16,1.4,4.4,7.0,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.95,1.8,1.43,2.75,1.11,6.8
39,bujmTcQ8,2024-12-15,14:30,GREECE - SUPER LEAGUE,Aris,Panserraikos,ROUND 15,1.5,4.0,6.0,1.36,3.0,1.05,11.0,1.29,3.5,1.93,1.93,2.0,1.75,1.5,2.5,1.14,5.75
40,AsO0LoJi,2024-12-15,14:30,SOUTH AFRICA - PREMIERSHIP,Polokwane,Marumo Gallants,ROUND 10,1.91,3.1,3.9,1.52,2.38,1.1,7.0,1.5,2.5,2.65,1.45,2.2,1.61,2.06,1.73,1.24,3.85
41,lfMPZtUq,2024-12-15,14:30,UKRAINE - PREMIER LEAGUE,Rukh Lviv,Obolon,ROUND 17,1.57,3.4,6.0,1.47,2.48,1.08,7.5,1.47,2.6,2.6,1.47,2.48,1.49,1.66,2.16,1.16,5.1
42,vLnVelrT,2024-12-15,15:00,ENGLAND - PREMIER LEAGUE,Brighton,Crystal Palace,ROUND 16,1.91,3.75,3.8,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.1,1.62,2.2,1.91,1.99,1.28,3.55
43,C4aLnST7,2024-12-15,15:00,FRANCE - LIGUE 1,Montpellier,Nice,ROUND 15,2.88,3.4,2.38,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.1,1.62,2.2,2.85,1.4,1.63,2.25
